Pays,Ville,Longitude,Latitude,Température,Humidité,Visibilité,Vitesse_vent
NL,Gemeente Wageningen,5.6667,51.9667,22.27,48,10000,6.17
ES,Málaga,-4.4203,36.7202,31.94,33,10000,3.58
IN,Agra,78.0167,27.1833,36.62,40,10000,0.9
DE,Augsburg,10.8833,48.3667,20.73,49,10000,3.09
PY,Ciudad del Este,-54.6167,-25.5167,15.41,84,10000,2.4
MX,Aguascalientes,-102.3,21.8833,15.47,75,10000,3.36
VE,Acarigua,-69.1956,9.5545,24.81,84,10000,0.25
US,Agnew,-121.9591,37.3947,12.49,83,10000,0.45
SA,Abhā,42.5053,18.2164,27.87,32,10000,2.89
DE,Ahe,7.45,50.8333,20.92,57,10000,3.93
US,Arapahoe,-104.3839,39.65,19.54,61,10000,9.95
ID,Amahai,128.9167,-3.3333,29.44,89,10000,1.3
GR,Athens,23.7162,37.9795,31.13,44,10000,5.14
IT,Alghero,8.3181,40.5589,28.05,69,10000,6.17
HN,Ahuas,-84.3553,15.4759,23.61,96,10000,0.91
MG,Ambatolahy,47.1194,-21.4604,19.37,34,10000,3.34
US,Alliance,-81.1059,40.9153,17.13,98,4147,4.2
MH,Airok,168.8203,7.2772,28.35,77,10000,6.01
CF,Yalinga,23.2658,6.5013,29.57,57,10000,2.41
DJ,Ali Sabih,42.7125,11.1558,39.74,14,10000,5.37
US,Aiken,-81.5998,33.5835,22.98,99,6437,2.06
PA,Ailigandí,-78.0167,9.2333,25.31,87,10000,0.96
CA,Wainwright,-110.8572,52.839,13.93,93,10000,3.02
IN,Adampur,75.7175,31.4328,34.39,60,10000,1.92
BR,Aripuanã,-60.6333,-9.1667,23.97,57,10000,1.51
FR,Arrondissement d'Ajaccio,8.9167,42.0,24.99,69,10000,7.2
TR,Ağrı Province,43.1667,39.6667,24.93,36,10000,5.22
MR,Akjoujt,-14.4164,19.6969,41.37,9,10000,6.26
SE,Arvidsjaur,19.1668,65.5903,19.91,56,10000,2.57
BR,Aracaju,-37.0717,-10.9111,23.97,88,4000,4.63
IN,Akola,77.0,20.7333,25.32,85,10000,4.61
LY,Kufra,23.2932,24.1988,37.45,12,10000,2.88
JP,Asahikawa,142.3703,43.7678,24.56,50,10000,4.12
US,Akhiok,-154.1703,56.9456,8.55,97,10000,2.81
NZ,Auckland,174.7667,-36.8667,10.74,78,10000,0.89
US,King Salmon,-156.6614,58.6883,8.04,92,10000,3.81
US,Anaktuvuk Pass,-151.7358,68.1433,8.6,74,10000,0.63
NG,Akure,5.1931,7.2526,28.85,63,10000,1.49
CN,Aksu,80.2644,41.1231,31.4,19,10000,1.4
CA,Akulivik,-78.1993,60.8006,2.4,88,10000,10.6
IR,Aghajari,49.8315,30.7006,45.77,5,10000,5.84
KZ,Aktobe,57.2072,50.2797,22.38,35,10000,4.26
MM,Sittwe,92.9,20.15,27.38,83,10000,3.23
KZ,Almaty,76.95,43.25,29.17,32,10000,3.67
NO,Alta,23.2717,69.9689,19.59,49,10000,3.6
DZ,Algiers,3.042,36.7525,27.77,45,10000,5.24
US,Albany,-73.9662,42.6001,18.43,95,4961,2.58
ZA,Alexander Bay,16.4826,-28.5948,16.99,60,10000,13.87
IT,Albenga,8.216,44.0529,27.5,75,10000,2.68
CA,Waterloo,-80.5164,43.4668,18.9,97,2816,1.79
AU,Alexandra,145.7,-37.1833,9.23,94,10000,1.37
BR,Alenquer,-54.7383,-1.9417,26.85,66,10000,2.99
SO,Alula,50.7569,11.9661,30.29,69,10000,5.34
US,Walla Walla,-118.343,46.0646,19.08,63,10000,3.13
EG,Alexandria,29.9553,31.2156,26.97,66,10000,5.71
US,Amarillo,-101.8313,35.222,23.12,56,10000,2.24
MG,Ambilobe,49.05,-13.2,30.73,27,10000,0.99
TD,Am Timan,20.2827,11.0297,31.69,50,10000,3.24
IN,Ahmedabad,72.6167,23.0333,32.02,66,4000,2.06
US,Ama,-90.2965,29.9522,27.03,93,10000,1.79
ID,Mataram,116.1167,-8.5833,25.45,87,10000,3.51
PA,Puerto Armuelles,-82.8667,8.2833,26.16,74,10000,2.24
ES,Mahon,4.2658,39.8885,25.86,63,10000,5.2
MG,Ampanihy,44.75,-24.7,24.38,39,10000,3.83
ES,Almeria,-2.3333,37.1667,24.87,22,10000,3.78
NL,Amsterdam,4.8897,52.374,20.9,57,10000,5.66
LV,Amata,25.3086,57.2119,23.48,52,10000,2.06
MG,Ambatomainty,47.5386,-18.8901,20.98,40,10000,4.12
US,Ardmore,-97.1436,34.1743,25.67,94,10000,3.09
US,Anchorage,-149.9003,61.2181,10.35,82,10000,3.58
CL,Antofagasta,-70.4,-23.65,15.67,80,10000,2.29
MZ,Angoche,39.9086,-16.2325,26.21,45,10000,3.94
PE,Andahuaylas,-73.3872,-13.6556,8.88,81,10000,0.81
GT,Antigua Guatemala,-90.7344,14.5611,18.1,89,10000,1.83
VE,Aroa,-68.8942,10.4386,24.32,91,10000,0.91
IT,Provincia di Ancona,13.1667,43.55,30.37,53,10000,4.12
GR,Karpathos,27.2132,35.507,26.98,69,10000,15.43
AR,Paso de los Libres,-57.0899,-29.7131,19.5,74,10000,5.04
OM,Adam,57.5233,22.3756,42.96,24,10000,4.07
ES,Arona,-16.681,28.0996,24.12,44,10000,2.66
MY,Alor Star,100.3601,6.121,27.81,83,10000,3.01
IT,Valle d'Aosta,7.4167,45.7667,24.23,24,10000,5.66
LA,Attapu,106.8333,14.8,27.65,80,10000,1.35
US,Denver,-104.9847,39.7392,19.27,47,10000,7.34
BO,Apolo,-68.4167,-14.7167,16.75,89,10000,0.69
US,Napa,-122.3344,38.4832,9.81,73,10000,1.01
MZ,Nampula,39.2666,-15.1165,26.99,29,10000,1.97
US,Alpena,-83.4327,45.0617,16.17,93,1207,6.69
BR,Arapiraca,-36.6611,-9.7525,24.67,75,10000,4.81
BR,Anápolis,-48.9528,-16.3267,19.51,54,10000,4.98
US,Apple Valley,-117.1859,34.5008,14.54,59,10000,2.79
BR,Alto Parnaíba,-45.9297,-9.1108,26.71,50,10000,3.84
AR,Zapala,-70.0544,-38.8992,2.7,66,10000,7.48
BR,Ariquemes,-63.0408,-9.9133,23.26,63,10000,1.26
US,Girdwood,-149.1664,60.9425,10.12,86,299,2.82
US,Arctic Village,-145.5378,68.1269,9.96,72,10000,0.69
RU,Arkhangelsk,40.5433,64.5401,25.43,33,10000,4.19
CL,Arica,-70.3042,-18.475,15.7,88,10000,0.85
IT,Arso,11.2635,45.5697,28.35,53,10000,2.02
TZ,Arusha,36.6833,-3.3667,24.23,45,10000,3.82
IT,Arly,6.9536,45.7126,26.04,44,10000,3.15
AU,Armidale,151.65,-30.5167,8.54,38,10000,1.03
CO,Arboletes,-76.4269,8.8505,25.39,84,10000,1.67
AR,Alto Río Senguer,-70.8198,-45.0411,0.83,82,10000,2.5
BR,Aragarças,-52.2508,-15.8975,22.19,41,10000,1.24
US,Watertown,-71.1828,42.3709,21.36,91,10000,3.58
RO,Arad,21.75,46.3333,23.84,60,10000,4.02
AM,Ararat,44.7049,39.8317,30.19,43,10000,7.91
AO,Ambrizette,12.8666,-7.2312,23.87,73,10000,6.05
TM,Ashgabat,58.3833,37.95,38.89,13,10000,2.92
US,Ascension,-90.9001,30.2169,25.54,100,10000,0.0
US,Aspen,-106.8175,39.1911,13.05,44,10000,4.21
RU,Astrakhan,48.0408,46.3497,28.84,28,10000,5.81
AU,Ashburton,145.0794,-37.8626,10.88,79,10000,3.13
CI,Yamoussoukro,-5.2767,6.8206,25.48,78,10000,1.23
ER,Asmara,38.9333,15.3333,25.39,30,10000,3.16
ET,Āsosa,34.5333,10.0667,23.29,71,10000,2.47
AU,Alice Springs,133.8833,-23.7,12.9,53,10000,25.48
US,Austin,-97.7431,30.2672,25.02,89,10000,0.89
TR,Kayseri Province,35.4968,38.737,29.01,24,10000,5.14
PY,Asunción,-57.6359,-25.3007,19.69,73,10000,2.57
EG,Aswān,32.907,24.0934,39.77,6,10000,4.41
SD,Atbara,33.9864,17.7022,42.74,7,10000,3.97
PK,Attock,72.3611,33.7695,37.7,30,10000,1.61
GR,Athens,23.7162,37.9795,30.87,44,10000,5.14
UY,Artigas,-56.4667,-30.4,19.15,75,10000,4.25
MG,Antsirabe,47.0333,-19.85,19.7,19,10000,1.43
US,Atlanta,-84.388,33.749,21.01,82,10000,0.45
BR,Altamira,-52.2064,-3.2033,25.38,64,10000,1.85
PG,Namatanai,152.4333,-3.6667,25.99,74,10000,5.87
IN,Amritsar,74.8656,31.6331,35.9,36,10000,2.59
TD,Ati,18.3353,13.2154,36.56,28,10000,3.04
US,Appleton,-88.4154,44.2619,14.59,87,10000,1.79
KZ,Atbasar,68.3333,51.8,14.06,85,10000,9.76
EG,Assiut,31.1837,27.181,38.83,12,10000,7.51
AW,Aruba,-69.9667,12.5,26.85,83,10000,4.63
AE,Abu Dhabi,54.3667,24.4667,32.46,68,10000,6.09
PG,Ambunti,142.8448,-4.2365,24.29,91,10000,1.21
MN,Arvaikheer,102.7863,46.2682,13.54,51,10000,8.64
US,Asheville,-82.554,35.6009,17.69,92,10000,1.01
US,Wilkes-Barre,-75.8813,41.2459,19.59,95,10000,1.79
PT,Alverca do Ribatejo,-9.0386,38.899,28.61,52,10000,5.88
US,Tucson,-110.9265,32.2217,26.77,19,10000,1.34
ET,Awasa,38.4667,7.05,23.52,65,10000,3.05
AU,Awaba,151.55,-33.0167,11.31,74,10000,2.09
RU,Aniva,142.5294,46.7144,15.88,88,10000,1.62
AU,Alton Downs,150.35,-23.3,16.3,76,10000,1.35
IR,Ahvāz,48.6693,31.3203,46.86,4,10000,8.07
AU,Aramac,145.25,-22.9667,22.64,52,10000,4.37
GR,Alexandroupoli,25.8744,40.8475,28.9,39,10000,5.14
CN,Alxa Left Banner,105.6623,38.8359,23.89,34,10000,5.89
YE,Ataq,46.8319,14.5377,35.47,23,10000,6.8
AM,Armenia,45.0,40.0,22.91,42,10000,6.63
JP,Akita,140.1167,39.7167,21.16,93,10000,4.67
ET,Axum,38.7244,14.1245,23.45,40,10000,4.42
US,Angel Fire,-105.285,36.3931,7.93,71,10000,2.57
GB,Alconbury,-0.2601,52.369,20.64,58,10000,4.13
CN,Yari,103.4897,34.5866,14.0,90,10000,0.6
KZ,Arqalyk,66.9114,50.2486,11.69,90,10000,10.05
CN,Anyang,114.3289,36.0994,34.77,30,10000,3.92
PY,Juan de Ayolas,-56.9,-27.4,18.82,69,10000,4.02
GB,Ayr,-4.6339,55.4627,14.98,94,10000,5.14
TR,Antalya Province,30.7178,36.7741,28.33,74,10000,4.12
US,Phoenix,-112.074,33.4484,26.29,16,10000,1.37
UZ,Andizhan,68.2416,40.6109,37.23,10,10000,2.49
US,Kalamazoo,-85.55,42.2506,15.02,92,10000,4.51
CN,Chaoyang,120.4586,41.5703,27.73,45,10000,2.43
CO,Zapatoca,-73.2677,6.8153,15.34,90,10000,1.92
US,Shreveport,-93.7502,32.5251,25.96,84,10000,1.91
BH,Bahrain,50.5,26.0,36.99,36,10000,4.32
AR,Buenos Aires,-58.3772,-34.6132,13.6,64,10000,4.02
ID,Bali,115.0,-8.5,25.13,91,10000,1.66
AZ,Baku,49.892,40.3777,30.03,39,10000,6.17
TR,Batman,41.1322,37.8874,37.89,12,10000,2.57
US,Battle Mountain,-116.9343,40.6421,12.04,71,10000,0.0
RO,Baia Mare,23.5795,47.6533,24.4,62,10000,3.43
CO,Barranquilla,-74.7964,10.9639,26.25,84,10000,2.19
IT,Bari,16.8512,41.1177,27.53,51,10000,4.02
CN,Baotou,109.8222,40.6522,23.37,47,10000,6.08
RU,Barnaul,83.7636,53.3606,25.48,31,10000,4.2
PT,Barcelos,-8.6151,41.5388,27.14,36,10000,3.25
CL,Balmaceda,-71.6833,-45.9167,-0.99,93,10000,1.54
KI,Butaritari,172.7902,3.0707,24.21,94,7823,1.05
IN,Bhubaneswar,85.8333,20.2333,30.82,63,10000,5.53
DE,Bitburg,6.5333,49.9667,21.95,46,10000,4.45
BW,Kasane,25.15,-17.8167,27.53,18,10000,2.68
KH,Battambang,103.1982,13.1027,29.02,66,10000,2.95
SO,Berbera,45.0143,10.4396,36.28,39,10000,6.86
GB,Bembridge,-1.0828,50.6863,20.77,65,10000,1.34
CF,Berbérati,15.7922,4.2612,27.21,71,10000,1.07
US,Philadelphia,-75.1638,39.9523,20.5,94,10000,1.34
CF,Bambari,20.6757,5.768,29.13,68,10000,0.75
ZM,Zambezi,23.1047,-13.5432,30.57,14,10000,1.78
CF,Bouca,18.2733,6.5105,29.34,66,10000,0.92
AU,Barcaldine,145.2833,-23.5667,22.56,51,10000,4.68
AU,Bolwarra,151.5667,-32.7167,12.87,52,10000,2.22
RO,Bacau,26.9,46.5667,28.92,33,10000,2.68
BR,Bambu,-45.4823,-3.6861,26.89,71,10000,0.83
FR,Brach,-0.938,45.0412,29.03,40,10000,2.17
US,Boca Raton,-80.0831,26.3587,27.42,86,10000,0.45
NG,Bauchi,10.0,10.5,33.31,41,10000,3.52
RU,Beloretsk,58.3981,53.9631,18.95,33,10000,5.55
AU,Bundaberg,152.35,-24.85,14.01,81,10000,2.4
BR,Barra do Corda,-45.25,-5.5,28.58,47,10000,3.18
US,Bird Island,-94.8956,44.7675,15.39,88,10000,0.0
TR,Panderma,27.9767,40.3522,25.66,57,10000,4.27
PK,Badin,68.8384,24.656,36.73,45,10000,5.65
ID,Bandung,107.6186,-6.9039,21.17,91,10000,1.14
NP,Bhadrapur,88.0944,26.544,27.92,84,6721,4.79
IN,Vadodara,73.2,22.3,31.98,66,6000,4.12
IT,Province of Brindisi,17.6667,40.5833,24.26,46,10000,5.26
CD,Gbadolite,21.0167,4.2833,29.58,62,10000,1.79
NO,Bardufoss,18.5208,69.065,24.88,38,10000,1.54
CN,Moba,105.0179,33.2288,17.68,97,10000,1.18
US,Broadus,-105.4075,45.4439,14.95,83,10000,1.42
IE,Bandon,-8.7425,51.7469,19.94,79,10000,8.5
US,Wichita,-97.3375,37.6922,20.93,63,10000,3.58
NI,Bluefields,-83.7635,12.0137,24.31,96,1366,1.36
RS,Belgrade,20.4651,44.804,30.82,36,10000,0.89
IN,Bareilly,79.4167,28.35,36.55,39,10000,3.63
BR,Belém,-48.5044,-1.4558,27.55,69,10000,2.44
IN,Bellary,76.9333,15.15,33.25,37,10000,8.22
US,Bethel,-73.414,41.3712,20.09,89,10000,1.53
AU,Bedourie,139.4667,-24.35,22.54,39,10000,7.57
IL,Beersheba,34.7913,31.2518,31.1,25,10000,7.13
MZ,Beira,34.8389,-19.8436,24.98,48,10000,4.65
LB,Beirut,35.4944,33.8889,29.1,68,10000,6.0
ID,Beru,112.319,-8.087,21.65,95,10000,2.11
ES,Bilbao,-2.9253,43.2627,23.31,57,10000,1.34
US,Scottsbluff,-103.6672,41.8666,18.37,82,10000,2.68
BR,Curitiba,-49.2908,-25.504,15.65,28,10000,1.69
US,Seattle,-122.3321,47.6062,12.98,88,10000,4.02
CN,Bijie,105.2942,27.3125,21.4,81,10000,7.5
US,Bakersfield,-119.0187,35.3733,16.18,58,10000,0.44
US,Mobile,-88.2,30.7835,24.96,86,10000,1.42
ZA,Bloemfontein,26.214,-29.1211,19.44,23,10000,7.48
GB,Belfast,-5.9333,54.5833,17.88,88,10000,7.2
US,Beaufort County,-80.6998,32.3669,26.63,85,10000,3.6
CN,Bengbu,117.3608,32.9408,29.73,50,10000,2.97
TH,Buriram,103.1039,14.9943,31.0,60,10000,2.58
DZ,Sidi Bel Abbes,-0.6309,35.1899,36.57,15,10000,3.84
CM,Bafoussam,10.4179,5.4737,20.84,87,9603,1.62
CO,Bucaramanga,-73.1198,7.1254,20.92,82,10000,0.92
GA,Booué,11.9385,-0.0921,30.95,54,10000,1.03
BR,Bragança,-46.7656,-1.0536,26.77,80,10000,1.44
TR,Bingöl,40.4939,38.8847,30.3,27,10000,5.28
CA,Big Creek,-123.0362,51.7165,12.7,69,10000,1.76
NP,Bāglung,83.5898,28.2719,24.88,88,10000,1.63
US,Binghamton,-75.918,42.0987,18.24,91,10000,2.06
RU,Belaya Gora,146.4167,68.5333,14.8,41,10000,2.04
NO,Bergen,5.328,60.392,15.23,72,10000,5.14
GA,Bongo,13.4333,-1.65,32.59,42,10000,0.71
US,Big Lake,-93.7461,45.3325,16.98,93,10000,1.7
GB,Bangor,-5.669,54.6534,17.46,89,10000,7.2
IQ,Baghdad,44.4009,33.3406,41.49,8,10000,7.55
CF,Bangassou,22.8184,4.7413,31.84,44,10000,0.88
BR,Bento Gonçalves,-51.5192,-29.1714,15.29,86,10000,3.13
IQ,Baghdad,44.4009,33.3406,41.49,8,10000,7.55
PT,Braga,-8.4201,41.5503,26.39,27,10000,1.31
US,Bar Harbor,-68.2039,44.3876,14.63,99,59,2.68
NZ,Blenheim,173.9528,-41.516,10.38,83,10000,2.29
HN,Brus Laguna,-84.4833,15.75,23.58,97,10000,1.05
SA,Bisha,42.6052,20.0005,39.57,7,10000,3.35
AR,Bahía Blanca,-62.2724,-38.7196,9.9,63,10000,3.58
UZ,Bukhara,64.4286,39.7747,38.4,9,10000,4.6
IN,Bhopal,77.4,23.2667,28.93,68,10000,3.18
NP,Bhojpur,87.0461,27.1715,20.29,91,10000,1.55
AU,Broken Hill,141.4333,-31.95,9.82,96,10000,1.4
IN,Bharatpur,77.4833,27.2167,36.76,40,10000,2.1
AU,Bathurst,149.5806,-33.4166,5.54,88,10000,0.74
PK,Bahawalpur,71.6833,29.4,40.61,30,10000,5.4
US,Birmingham,-86.8025,33.5207,21.97,91,10000,0.93
CN,Beihai,109.1,21.4833,28.53,78,10000,1.79
FR,Arrondissement de Bastia,9.3333,42.6667,28.05,70,10000,0.45
SO,Baidoa,43.6498,3.1138,28.75,49,10000,8.21
US,El Paso,-106.2005,31.8001,27.71,20,10000,3.43
US,Bishop,-118.3951,37.3635,16.39,46,10000,1.08
US,Billings Metropolitan Area,-108.5007,45.7833,11.39,86,10000,0.89
AF,Bamyan,67.25,34.75,24.68,14,10000,6.2
AU,Bulimba,153.0583,-27.45,12.66,61,10000,1.34
FR,Biarritz,-1.5556,43.4801,23.17,72,10000,3.14
NP,Biratnagar,87.2834,26.4831,29.31,70,10000,7.68
US,Bismarck,-100.7837,46.8083,18.04,78,10000,3.6
CF,Bria,21.9863,6.5423,28.5,66,10000,1.36
IR,Bojnourd,57.329,37.4747,33.49,12,10000,5.09
NO,Båtsfjord,29.7185,70.6345,8.88,87,10000,5.66
US,Bemidji,-94.8803,47.4736,13.89,100,10000,1.54
GM,City of Banjul,-16.5833,13.45,27.02,75,10000,3.66
BI,Bujumbura,29.3644,-3.3822,26.78,65,10000,3.74
AR,Bermejo,-68.8,-32.8833,8.94,59,10000,0.68
ET,Bahir Dar,37.3908,11.5936,24.7,54,10000,1.81
RO,Bajura,26.5392,48.1981,22.55,59,10000,3.73
TR,Bodrum,27.4292,37.0383,32.96,56,10000,6.97
ES,Badajoz,-6.1667,38.6667,36.59,11,10000,2.11
US,Branson,-93.2185,36.6437,16.43,90,10000,0.0
US,Kekaha,-159.7132,21.9683,22.65,75,10000,4.51
MY,Kota Kinabalu,116.0724,5.9749,29.93,74,10000,1.34
TH,Bangkok,100.5167,13.75,32.64,70,10000,3.25
US,Cleveland,-81.6954,41.4995,18.66,95,10000,0.45
TM,Balkanabat,54.3671,39.5108,38.11,10,10000,0.97
ML,Bamako,-8.0,12.65,33.48,44,10000,0.56
AU,Blackall,145.4667,-24.4167,22.28,51,10000,3.44
TD,Bokoro,17.0568,12.3807,35.7,31,10000,3.96
MG,Betioky,44.3833,-23.7167,26.37,32,10000,3.2
TZ,Bukoba,31.8122,-1.3317,25.42,51,10000,3.86
ID,Bali,115.0,-8.5,25.13,91,10000,1.66
US,Las Vegas,-115.1372,36.175,22.89,26,10000,10.28
US,Bellingham,-122.4882,48.7595,12.26,87,10000,1.34
GB,Blackpool,-3.05,53.8167,16.06,88,10000,5.66
DK,Billund,9.1078,55.7335,19.05,55,10000,10.29
AU,Benalla,145.9833,-36.55,8.5,86,10000,1.74
IT,Bologna,11.4333,44.4667,32.53,46,10000,1.54
IN,Bengaluru,77.6033,12.9762,28.45,57,10000,4.72
AU,Blackwater,148.8833,-23.5833,19.36,44,10000,3.97
CA,Belleville,-77.3705,44.1788,20.05,91,10000,0.89
IT,Belluno,12.2214,46.145,26.25,71,10000,0.45
IE,Belmullet,-9.9908,54.225,16.68,97,10000,11.25
MW,Blantyre,35.0085,-15.785,23.77,29,10000,0.34
CD,Bumba,22.4667,2.1833,30.6,52,10000,0.86
MG,Belon'i Tsiribihina,44.55,-19.7,27.6,30,10000,3.85
US,Broome,-75.833,42.2506,18.11,90,10000,2.68
DE,Borkum,6.6915,53.5809,21.17,79,10000,7.97
GA,Bitam,11.5007,2.076,29.76,54,10000,0.65
IQ,Bamarni,43.2701,37.1214,32.06,15,10000,4.45
MM,Bhamo,97.2333,24.2667,27.82,86,10000,1.4
ME,Bamburi,19.4059,43.2152,23.48,43,10000,2.4
DE,Baltrum,7.3667,53.7333,19.27,71,10000,5.36
DZ,Bordj Badji Mokhtar,0.9467,21.3316,41.06,13,10000,4.88
US,Bright,-84.8561,39.2184,18.0,93,6437,0.45
AU,Bourke,145.9333,-30.1,12.88,57,10000,3.19
VE,Barquisimeto,-69.3228,10.0739,24.28,74,10000,1.33
CH,Bern,7.4474,46.9481,23.15,57,10000,3.13
US,Brownsville,-97.4975,25.9018,27.47,91,10000,5.91
BR,Barra,-43.1417,-11.0894,24.39,54,10000,4.27
US,Bristol,-71.1662,41.8334,20.69,86,10000,4.12
BE,Brussels,4.3488,50.8504,21.97,53,10000,4.12
DE,Bremerhaven,8.5833,53.55,20.26,61,10000,8.46
US,Barrow,-156.7887,71.2906,2.01,93,1207,4.63
BR,Brasília,-47.9297,-15.7797,19.23,76,10000,4.65
CN,Baoshan,131.4244,46.5586,21.98,75,10000,2.01
GQ,Bata,9.7658,1.8639,28.56,68,10000,6.6
AU,Bairnsdale,147.6167,-37.8333,6.7,84,10000,2.58
CF,Bossangoa,17.4552,6.4926,26.7,81,10000,1.06
PH,Basco,121.9702,20.4487,27.67,82,5815,5.22
BR,Balsas,-46.0356,-7.5325,26.69,46,10000,4.33
CD,Basankusu,19.8021,1.221,29.56,64,10000,1.77
MM,Pathein,94.7333,16.7833,28.25,80,10000,1.71
CM,Bertoua,13.6833,4.5833,26.18,73,10000,0.95
CF,Batangafo,18.2833,7.3008,28.56,70,10000,1.03
RU,Bratsk,101.6142,56.1325,14.08,56,10000,4.0
US,Butte,-121.5677,39.6499,14.88,76,10000,1.47
US,Butler,-84.5666,39.4501,18.56,91,4828,2.57
RW,Butare,29.7394,-2.5967,23.0,51,10000,2.07
US,Baton Rouge,-91.1545,30.4508,25.8,95,10000,2.5
SK,Bratislava,17.1067,48.1482,21.91,52,10000,5.14
MY,Bintulu,113.0333,3.1667,27.54,79,10000,1.84
US,Burlington,-74.6413,39.8835,21.03,92,10000,0.89
ID,Batu Licin,116.0022,-3.4489,25.24,88,10000,1.43
US,Beatty,-116.7592,36.9086,19.73,34,10000,1.19
UZ,Bo`ka,69.1986,40.8108,37.1,9,10000,6.37
AU,Burketown,139.5667,-17.7167,22.31,61,10000,2.57
HU,Budapest,19.0399,47.498,22.64,68,10000,5.66
