Code Aéroport,Code Ville,Code Pays,Nom Ville,Latitude,Longitude,UTC Différence,Time_Zone
CMW,CMW,CU,Camaguey Ignacio Agramonte Intl,21.4203,-77.8475,-05:00,America/Havana
CMX,CMX,US,Hancock,47.1683,-88.4892,-05:00,America/New_York
CMY,CMY,US,Sparta Fort Mccoy,43.95,-90.7833,-06:00,America/Chicago
CMZ,CMZ,MZ,Caia,-17.8333,35.35,+02:00,Africa/Maputo
CNA,CNA,MX,Cananea,31.0658,-110.0969,-07:00,America/Mazatlan
CNB,CNB,AU,Coonamble,-30.9833,148.3833,+10:00,Australia/Sydney
CNC,CNC,AU,Coconut Island,-10.0503,143.0717,+10:00,Australia/Brisbane
CND,CND,RO,Constanta,44.3622,28.4883,+02:00,Europe/Bucharest
CNE,CNE,US,Canon City,38.4167,-105.1,-07:00,America/Denver
CNF,BHZ,BR,Belo Horizonte,-19.6339,-43.9689,-03:00,America/Sao_Paulo
CNG,CNG,FR,Cognac Chateaubernard,45.6583,-0.3175,+01:00,Europe/Paris
CNH,CNH,US,Claremont Municipal,43.3667,-72.3667,-05:00,America/New_York
CNI,CNI,CN,Changhai,39.2667,122.5167,+08:00,Asia/Shanghai
CNJ,CNJ,AU,Cloncurry,-20.6686,140.5044,+10:00,Australia/Brisbane
CNK,CNK,US,Concordia Blosser Municipal,39.55,-97.65,-06:00,America/Chicago
CNL,CNL,DK,Sindal,57.5036,10.2294,+01:00,Europe/Copenhagen
CNM,CNM,US,Carlsbad Cavern City Air Term.,32.3375,-104.2633,-07:00,America/Denver
CNN,CNN,IN,Kannur International,11.9158,75.5458,+05:30,Asia/Kolkata
CNO,CNO,US,Chino,34.0167,-117.7,-08:00,America/Los_Angeles
CNP,CNP,GL,Neerlerit Inaat,70.7433,-22.6506,-01:00,America/Scoresbysund
CNQ,CNQ,AR,Corrientes,-27.4456,-58.7619,-03:00,America/Argentina/Buenos_Aires
CNR,CNR,CL,Chanaral,-26.3167,-70.6167,-04:00,America/Santiago
CNS,CNS,AU,Cairns,-16.8781,145.7489,+10:00,Australia/Brisbane
CNT,CNT,AR,Charata,-27.2167,-61.2167,-03:00,America/Argentina/Buenos_Aires
CNU,CNU,US,Chanute Martin Johnson,37.6833,-95.45,-06:00,America/Chicago
CNV,CNV,BR,Canavieiras Socrates Rezende,-15.6333,-38.8667,-03:00,America/Araguaina
CNW,ACT,US,Waco Tstc Waco,31.6333,-97.0667,-06:00,America/Chicago
CNX,CNX,TH,Chiang Mai,18.7714,98.9628,+07:00,Asia/Bangkok
CNY,CNY,US,Moab Canyon Land Field,38.7608,-109.7475,-07:00,America/Denver
CNZ,CNZ,AO,Cangamba,-13.6833,19.8833,+01:00,Africa/Luanda
COA,COA,US,Columbia,38.0333,-120.4167,-08:00,America/Los_Angeles
COB,COB,AU,Coolibah,-15.6667,130.9667,+09:30,Australia/Darwin
COC,COC,AR,Concordia Comodoro Pierrestegui,-31.3,-58.0167,-03:00,America/Argentina/Buenos_Aires
COD,COD,US,Cody,44.5178,-109.0261,-07:00,America/Denver
COE,COE,US,Coeur D'alene Pappy Boyington Field,47.7667,-116.8167,-08:00,America/Los_Angeles
COF,COI,US,Cocoa Beach Patrick Afb,28.2336,-80.6103,-05:00,America/New_York
COG,COG,CO,Condoto Mandinga,5.0719,-76.6767,-05:00,America/Bogota
COH,COH,IN,Cooch Behar,26.3333,89.4667,+05:30,Asia/Kolkata
COI,COI,US,Merritt Island,28.3417,-80.6856,-05:00,America/New_York
COJ,COJ,AU,Coonabarabran,-31.3333,149.2667,+10:00,Australia/Sydney
COK,COK,IN,Kochi (IN),10.1519,76.4019,+05:30,Asia/Kolkata
COL,COL,GB,Coll,56.6019,-6.6178,+00:00,Europe/London
COM,COM,US,Coleman Municipal,31.8333,-99.4333,-06:00,America/Chicago
CON,CON,US,Concord Municipal,43.2028,-71.5022,-05:00,America/New_York
COO,COO,BJ,Cotonou,6.3572,2.3844,+01:00,Africa/Porto-Novo
COP,COP,US,Cooperstown Westville,42.7,-74.9333,-05:00,America/New_York
COQ,COQ,MN,Choibalsan,48.1356,114.6464,+08:00,Asia/Ulaanbaatar
COR,COR,AR,Cordoba,-31.31,-64.2083,-03:00,America/Argentina/Buenos_Aires
COS,COS,US,Colorado Springs,38.8058,-104.7008,-07:00,America/Denver
COT,COT,US,Cotulla La Salle County,28.4333,-99.2333,-06:00,America/Chicago
COU,COU,US,Columbia,38.8181,-92.2197,-06:00,America/Chicago
COV,COV,TR,Mersin Cukurova,36.8917,35.0714,+03:00,Europe/Istanbul
COW,COW,CL,Coquimbo Tambillos,-30.1992,-71.2325,-04:00,America/Santiago
COX,COX,BS,Congo Town,24.15,-77.5861,-05:00,America/Nassau
COY,COY,AU,Coolawanyah Station,-21.8,117.7667,+08:00,Australia/Perth
COZ,COZ,DO,Constanza 14 De Junio,18.9,-70.7167,-04:00,America/Santo_Domingo
CPA,CPA,LR,Harper Cape Palmas,4.3833,-7.7,+00:00,Africa/Monrovia
CPB,CPB,CO,Capurgana,8.6333,-77.3333,-05:00,America/Bogota
CPC,CPC,AR,San Martin Los Andes Aviador Carlos Cam,-40.0753,-71.1372,-03:00,America/Argentina/Buenos_Aires
CPD,CPD,AU,Coober Pedy,-29.0403,134.72,+09:30,Australia/Adelaide
CPE,CPE,MX,Campeche A.Acuna Ongay Intl,19.8167,-90.5003,-06:00,America/Mexico_City
CPF,CPF,ID,Cepu Nglonram,-7.1833,111.5333,+07:00,Asia/Pontianak
CPG,CPG,AR,Carmen De Patagones,-40.8,-62.9833,-03:00,America/Argentina/Buenos_Aires
CPH,CPH,DK,Copenhagen,55.6203,12.6503,+01:00,Europe/Copenhagen
CPI,CPI,PG,Cape Orford,-5.4333,152.0833,+10:00,Pacific/Port_Moresby
CPJ,CDT,ES,Castellon De La Plana Rail Station,39.9883,-0.0522,+01:00,Europe/Madrid
CPL,CPL,CO,Chaparral General Navas Pardo,3.7,-75.75,-05:00,America/Bogota
CPM,CPM,US,Compton Woodley,33.9,-118.2167,-08:00,America/Los_Angeles
CPN,CPN,PG,Cape Rodney,-10.1833,148.3667,+10:00,Pacific/Port_Moresby
CPO,CPO,CL,Copiapo,-27.2617,-70.7792,-04:00,America/Santiago
CPP,CPP,CL,Pica Coposa,-20.7519,-68.6825,-04:00,America/Santiago
CPQ,CPQ,BR,Campinas International,-22.7561,-47.2694,-03:00,America/Sao_Paulo
CPR,CPR,US,Casper,42.9081,-106.4644,-07:00,America/Denver
CPS,STL,US,St Louis Bi-State Parks Airport,38.5689,-90.1542,-06:00,America/Chicago
CPT,CPT,ZA,Cape Town,-33.9647,18.6017,+02:00,Africa/Johannesburg
CPU,CPU,BR,Cururupu,-1.8,-44.8667,-03:00,America/Araguaina
CPV,CPV,BR,Campina Grande Joao Suassuna,-7.27,-35.8964,-03:00,America/Araguaina
CPX,CPX,PR,Culebra Benjamin Rivera Noriega,18.3125,-65.3031,-04:00,America/Puerto_Rico
CPZ,CPZ,AR,Cipolletti Rn Bus Station,-38.9411,-68.0075,-03:00,America/Argentina/Buenos_Aires
CQA,CQA,BR,Canarana,-13.5728,-52.2694,-04:00,America/Porto_Velho
CQD,CQD,IR,Shahre Kord,32.2983,50.8406,+03:30,Asia/Tehran
CQF,CQF,FR,Calais/Dunkerque,50.9622,1.9553,+01:00,Europe/Paris
CQM,CQM,ES,Ciudad Real Central,38.8572,-3.9714,+01:00,Europe/Madrid
CQP,CQP,AU,Cape Flattery,-18.2,147.5,+10:00,Australia/Brisbane
CQS,CQS,BR,Costa Marques,-12.4167,-64.3333,-04:00,America/Porto_Velho
CQT,CQT,CO,Caquetania,2.0333,-74.2167,-05:00,America/Bogota
CQW,CQW,CN,Wulong Chongqing Xiannvshan,29.4642,107.6933,+08:00,Asia/Shanghai
CRA,CRA,RO,Craiova,44.3181,23.8886,+02:00,Europe/Bucharest
CRB,CRB,AU,Collarenebri,-29.5258,148.5758,+10:00,Australia/Sydney
CRC,CRC,CO,Cartago Santa Ana,4.7583,-75.9564,-05:00,America/Bogota
CRD,CRD,AR,Comodoro Rivadavia,-45.7853,-67.4656,-03:00,America/Argentina/Buenos_Aires
CRE,MYR,US,Myrtle Beach Grand Strand Apt,33.8117,-78.7239,-05:00,America/New_York
CRF,CRF,CF,Carnot,4.9333,15.9,+01:00,Africa/Bangui
CRG,JAX,US,Jacksonville Executive (Craig) Apt,30.3339,-81.5133,-05:00,America/New_York
CRH,CRH,AU,Cherrabah,-27.65,151.95,+10:00,Australia/Brisbane
CRI,CRI,BS,Crooked Island Colonel Hill,22.7456,-74.1822,-05:00,America/Nassau
CRJ,CRJ,AU,Coorabie,-31.9,132.3,+09:30,Australia/Adelaide
CRK,CRK,PH,Angeles/Mabalacat Clark International,15.1861,120.5603,+08:00,Asia/Manila
CRL,BRU,BE,Brussels S. Charleroi Airport,50.4592,4.4539,+01:00,Europe/Brussels
CRM,CRM,PH,Catarman National,12.5025,124.6358,+08:00,Asia/Manila
CRN,CND,RO,Constanta Bus Station,44.1686,28.6322,+02:00,Europe/Bucharest
CRO,CRO,US,Corcoran,36.1,-119.55,-08:00,America/Los_Angeles
CRP,CRP,US,Corpus Christi,27.7703,-97.5011,-06:00,America/Chicago
CRQ,CRQ,BR,Caravelas,-17.65,-39.25,-03:00,America/Araguaina
CRR,CRR,AR,Ceres,-29.8667,-61.8333,-03:00,America/Argentina/Buenos_Aires
CRS,CRS,US,Corsicana C. David Campbell Fld,32.1,-96.4667,-06:00,America/Chicago
CRT,CRT,US,Crossett Z. M. Jack Stell Field,33.1333,-91.9667,-06:00,America/Chicago
CRU,CRU,GD,Carriacou,12.4767,-61.4719,-04:00,America/Grenada
CRV,CRV,IT,Crotone,38.9992,17.0797,+01:00,Europe/Rome
CRW,CRW,US,Charleston/Yeager,38.3731,-81.5931,-05:00,America/New_York
CRX,CRX,US,Corinth Roscoe Turner,34.9144,-88.6033,-06:00,America/Chicago
CRY,CRY,AU,Carlton Hill,-15.7,128.5,+08:00,Australia/Perth
CRZ,CRZ,TM,Turkmenabat,39.0833,63.6119,+05:00,Asia/Ashgabat
CSA,CSA,GB,Colonsay,56.0578,-6.2431,+00:00,Europe/London
CSB,CSB,RO,Caransebes,45.4167,22.25,+02:00,Europe/Bucharest
CSC,CSC,CR,Canas Mojica,10.4167,-85.1167,-06:00,America/Costa_Rica
CSD,CSD,AU,Cresswell Downs,-17.9667,135.9167,+09:30,Australia/Darwin
CSE,CSE,US,Crested Butte Buckhorn Ranch,38.8667,-106.9833,-07:00,America/Denver
CSF,CSF,FR,Creil,49.2536,2.5192,+01:00,Europe/Paris
CSG,CSG,US,Columbus Metropolitan,32.5144,-84.9403,-05:00,America/New_York
CSH,CSH,RU,Solovetsky Solovki,65.0294,35.7333,+03:00,Europe/Moscow
CSI,CSI,AU,Casino,-28.8833,153.0667,+10:00,Australia/Sydney
CSJ,CSG,US,Columbus,32.5164,-84.9389,-05:00,America/New_York
CSK,CSK,SN,Cap Skiring,12.3947,-16.7475,+00:00,Africa/Dakar
CSL,CSL,US,San Luis Obispo,35.3261,-120.7433,-08:00,America/Los_Angeles
CSM,CSM,US,Clinton Sherman Airport,35.34,-99.1981,-06:00,America/Chicago
CSN,CSN,US,Carson City Carson Airport,39.2,-119.7333,-08:00,America/Los_Angeles
CSO,CSO,DE,Magdeburg Cochstedt,51.8558,11.4181,+01:00,Europe/Berlin
CSP,CSP,US,Cape Spencer Coast Guard Heliport,58.2,-136.6333,-09:00,America/Anchorage
CSQ,CSQ,US,Creston Municipal,41.0667,-94.3667,-06:00,America/Chicago
CSR,CSR,CO,Casuarito,5.8333,-68.1333,-05:00,America/Bogota
CSS,CSS,BR,Cassilandia,-19.15,-51.75,-04:00,America/Porto_Velho
CST,CST,FJ,Castaway Island Spb,-17.6194,177.1222,+12:00,Pacific/Fiji
CSU,CSU,BR,Santa Cruz Do Sul,-29.6833,-52.4167,-03:00,America/Araguaina
CSV,CSV,US,Crossville Memorial-Whitson Field,35.95,-85.0833,-06:00,America/Chicago
CSW,CSW,BR,Colorado Do Oeste,-13.0194,-61.1694,-04:00,America/Porto_Velho
CSX,CSX,CN,Changsha,28.1936,113.2178,+08:00,Asia/Shanghai
CSY,CSY,RU,Cheboksary,56.0903,47.3472,+03:00,Europe/Moscow
CSZ,CSZ,AR,Coronel Suarez Brigadier Hector Ruiz,-37.4464,-61.8894,-03:00,America/Argentina/Buenos_Aires
CTA,CTA,IT,Catania,37.4667,15.0639,+01:00,Europe/Rome
CTB,CTB,US,Cut Bank International,48.6333,-112.3333,-07:00,America/Denver
CTC,CTC,AR,Catamarca Choya,-28.5931,-65.7511,-03:00,America/Argentina/Buenos_Aires
CTD,CTD,PA,Chitre Alonso Valderrama,7.9881,-80.41,-05:00,America/Panama
CTE,CTE,PA,Carti,9.3167,-79.1,-05:00,America/Panama
CTF,CTF,GT,Coatepeque,14.6944,-91.8825,-06:00,America/Guatemala
CTG,CTG,CO,Cartagena,10.4425,-75.5131,-05:00,America/Bogota
CTH,CTH,US,Coatesville Chester County,39.9667,-75.8167,-05:00,America/New_York
CTI,CTI,AO,Cuito Cuanavale,-15.1667,19.1667,+01:00,Africa/Luanda
CTJ,CTJ,IT,Caserta Rail Station,41.0689,14.3283,+01:00,Europe/Rome
CTK,CTK,US,Canton Municipal,43.3,-96.5833,-06:00,America/Chicago
CTL,CTL,AU,Charleville,-26.4133,146.2625,+10:00,Australia/Brisbane
CTM,CTM,MX,Chetumal International,18.5047,-88.3269,-05:00,America/Hermosillo
CTN,CTN,AU,Cooktown,-15.4436,145.1828,+10:00,Australia/Brisbane
CTO,CTO,US,Calverton Executive Airpark,40.9167,-72.75,-05:00,America/New_York
CTP,CTP,BR,Carutapera,-1.25,-46.0167,-03:00,America/Araguaina
CTQ,CTQ,BR,Santa Vitoria Palmar,-33.5022,-53.3444,-03:00,America/Araguaina
CTR,CTR,AU,Cattle Creek,-17.5833,131.0,+09:30,Australia/Darwin
CTS,SPK,JP,Sapporo Chitose,42.7753,141.6922,+09:00,Asia/Tokyo
CTT,CTT,FR,Le Castellet,43.2522,5.7861,+01:00,Europe/Paris
CTU,CTU,CN,Chengdu,30.5786,103.9472,+08:00,Asia/Shanghai
CTV,CTV,AO,Saurimo Catoca,-9.4325,20.3119,+01:00,Africa/Luanda
CTW,CTW,US,Cottonwood,34.7303,-112.0353,-07:00,America/Phoenix
CTX,CTX,US,Cortland County,42.5933,-76.2142,-05:00,America/New_York
CTY,CTY,US,Cross City,29.65,-83.1167,-05:00,America/New_York
CTZ,CTZ,US,Clinton Sampson County,35.0,-78.3333,-05:00,America/New_York
CUA,CUA,MX,Ciudad Constitucion,25.05,-111.65,-07:00,America/Mazatlan
CUB,CAE,US,Columbia J. Hamilton-L. B. Owens,33.9833,-81.0,-05:00,America/New_York
CUC,CUC,CO,Cucuta,7.9275,-72.5117,-05:00,America/Bogota
CUD,CUD,AU,Caloundra,-26.8,153.15,+10:00,Australia/Brisbane
CUE,CUE,EC,Cuenca Mariscal Lamar Intl,-2.8894,-78.9844,-05:00,America/Guayaquil
CUF,CUF,IT,Cuneo,44.5475,7.6231,+01:00,Europe/Rome
CUG,CUG,AU,Cudal,-33.2667,148.7667,+10:00,Australia/Sydney
CUH,CUH,US,Cushing,35.9833,-96.7667,-06:00,America/Chicago
CUI,CUI,CO,Currillo,4.6667,-72.0,-05:00,America/Bogota
CUJ,CUJ,PH,Culion,11.8833,120.0167,+08:00,Asia/Manila
CUK,CUK,BZ,Caye Caulker,17.7353,-88.0325,-06:00,America/Belize
CUL,CUL,MX,Culiacan,24.7644,-107.4747,-07:00,America/Mazatlan
CUM,CUM,VE,Cumana,10.4503,-64.1306,-04:00,America/Caracas
CUN,CUN,MX,Cancun,21.0367,-86.8772,-05:00,America/Hermosillo
CUO,CUO,CO,Caruru,1.0333,-71.2333,-05:00,America/Bogota
CUP,CUP,VE,Carupano Jose F. Bermudez,10.66,-63.2617,-04:00,America/Caracas
CUQ,CUQ,AU,Coen,-13.7628,143.1169,+10:00,Australia/Brisbane
CUR,CUR,CW,Curacao,12.1889,-68.9597,-04:00,America/Curacao
CUS,CUS,US,Columbus Municipal,31.8333,-107.6333,-07:00,America/Denver
CUT,CUT,AR,Cutral-Co,-38.9667,-69.25,-03:00,America/Argentina/Buenos_Aires
CUU,CUU,MX,Chihuahua,28.7028,-105.9644,-06:00,America/Mexico_City
CUV,CUV,VE,Casigua El Cubo,8.7667,-72.55,-04:00,America/Caracas
CUW,CUW,US,Cube Cove,58.35,-133.7667,-09:00,America/Anchorage
CUX,CRP,US,Corpus Christi Cuddihy Field,27.7833,-97.5,-06:00,America/Chicago
CUY,CUY,AU,Cue,-27.45,117.9167,+08:00,Australia/Perth
CUZ,CUZ,PE,Cuzco,-13.5358,-71.9389,-05:00,America/Lima
CVA,PIT,US,Pittsburgh Civic Arena H/P,40.4833,-80.2167,-05:00,America/New_York
CVB,CVB,PG,Chungribu,-4.8,144.7,+10:00,Pacific/Port_Moresby
CVC,CVC,AU,Cleve,-33.7,136.5,+09:30,Australia/Adelaide
CVE,CVE,CO,Covenas,9.4,-75.7333,-05:00,America/Bogota
CVF,CVF,FR,Courchevel,45.3958,6.6325,+01:00,Europe/Paris
CVG,CVG,US,Cincinnati,39.0489,-84.6678,-05:00,America/New_York
CVH,CVH,AR,Caviahue/Copahue,-37.9167,-71.0139,-03:00,America/Argentina/Buenos_Aires
CVI,CVI,AR,Caleta Olivia,-46.4333,-67.5167,-03:00,America/Argentina/Buenos_Aires
CVJ,CVJ,MX,Cuernavaca Mariano Matamoros,18.8358,-99.2611,-06:00,America/Mexico_City
CVL,CVL,PG,Cape Vogel,-9.7,150.05,+10:00,Pacific/Port_Moresby
CVM,CVM,MX,Ciudad Victoria Pedro J. Mendez Intl,23.7033,-98.9564,-06:00,America/Mexico_City
CVN,CVN,US,Clovis Municipal Apt,34.4264,-103.0789,-07:00,America/Denver
CVO,CVO,US,Corvallis/Albany Corvallis Municipal,44.5,-123.2833,-08:00,America/Los_Angeles
CVQ,CVQ,AU,Carnarvon,-24.8847,113.6664,+08:00,Australia/Perth
CVR,CVR,US,Culver City Hughes,34.0167,-118.4,-08:00,America/Los_Angeles
CVS,CVN,US,Clovis Cannon Afb,34.3878,-103.3192,-07:00,America/Denver
CVT,CVT,GB,Coventry,52.3697,-1.4797,+00:00,Europe/London
CVU,CVU,PT,Corvo Island,39.6714,-31.1136,-01:00,Atlantic/Azores
CWA,AUW,US,Wausau,44.7833,-89.6667,-06:00,America/Chicago
CWB,CWB,BR,Curitiba,-25.5286,-49.1758,-03:00,America/Sao_Paulo
CWC,CWC,UA,Chernivtsi International,48.2594,25.9803,+02:00,Europe/Zaporozhye
CWF,CWF,US,Lake Charles Chennault International,30.2108,-93.1431,-06:00,America/Chicago
CWG,CWG,US,Callaway Gardens,32.8333,-84.8833,-05:00,America/New_York
CWI,CWI,US,Clinton Municipal,41.8333,-90.35,-06:00,America/Chicago
CWJ,CWJ,CN,Cangyuan Washan,23.2761,99.3733,+08:00,Asia/Shanghai
CWL,CWL,GB,Cardiff,51.3967,-3.3433,+00:00,Europe/London
CWO,MWL,US,Mineral Wells Fort Wolter Aaf,32.7861,-98.0694,-06:00,America/Chicago
CWP,CWP,PK,Campbellpore,33.7667,72.3667,+05:00,Asia/Karachi
CWR,CWR,AU,Cowarie,-27.7167,138.3333,+09:30,Australia/Adelaide
CWS,CWS,US,Center Island,47.485,-122.8314,-08:00,America/Los_Angeles
CWT,CWT,AU,Cowra,-33.85,148.65,+10:00,Australia/Sydney
CWW,CWW,AU,Corowa,-35.9833,146.35,+10:00,Australia/Sydney
CWX,CWX,US,Willcox Cochise County,32.2453,-109.8944,-07:00,America/Phoenix
CXA,CXA,VE,Caicara De Orinoco,7.5333,-66.15,-04:00,America/Caracas
CXB,CXB,BD,Cox's Bazar,21.4522,91.9639,+06:00,Asia/Dhaka
CXC,CXC,US,Chitina,61.5667,-144.4167,-09:00,America/Anchorage
CXE,CEG,GB,Chester Central Rail Station,53.1969,-2.8797,+00:00,Europe/London
CXF,CXF,US,Coldfoot,67.2517,-150.2042,-09:00,America/Anchorage
CXH,YVR,CA,Vancouver Coal Harbour Spb,49.2917,-123.1214,-08:00,America/Vancouver
CXI,CXI,KI,Kiritimati Cassidy International,1.9864,-157.3542,+14:00,Pacific/Kiritimati
CXJ,CXJ,BR,Caxias Do Sul Hugo Cantergiani,-29.1969,-51.1875,-03:00,America/Araguaina
CXL,CXL,US,Calexico International,32.6667,-115.5167,-08:00,America/Los_Angeles
CXN,CXN,SO,Candala,11.4942,49.9086,+03:00,Africa/Mogadishu
CXO,HOU,US,Houston Conroe,30.3167,-95.45,-06:00,America/Chicago
CXP,CXP,ID,Cilacap Tunggul Wulung,-7.7333,109.0,+07:00,Asia/Pontianak
CXQ,CXQ,AU,Christmas Creek Stn,-18.8783,125.9289,+08:00,Australia/Perth
CXR,NHA,VN,Nha Trang Cam Ranh Airport,11.9981,109.2192,+07:00,Asia/Ho_Chi_Minh
CXT,CXT,AU,Charters Towers,-20.05,146.2667,+10:00,Australia/Brisbane
CXX,CAX,GB,Carlisle Central Rail Station,54.8906,-2.9333,+00:00,Europe/London
CXY,CXY,BS,Cat Cay,25.555,-79.2756,-05:00,America/Nassau
CYA,CYA,HT,Les Cayes Antonie-Simon,18.2667,-73.7833,-05:00,America/Port-au-Prince
CYB,CYB,KY,Cayman Brac C. Kirkconnell Intl,19.6869,-79.8828,-05:00,America/Cayman
CYC,CYC,BZ,Caye Chapel,17.6836,-88.045,-06:00,America/Belize
CYD,SQS,BZ,San Ignacio Town Airstrip,17.105,-89.1069,-06:00,America/Belize
CYE,CYE,US,Crystal Lake,41.2103,-75.8322,-05:00,America/New_York
CYF,CYF,US,Chefornak,60.1597,-164.2747,-09:00,America/Anchorage
CYG,CYG,AU,Corryong,-36.25,147.9,+10:00,Australia/Sydney
CYI,CYI,TW,Chiayi,23.4633,120.3906,+08:00,Asia/Taipei
CYL,CYL,HN,Coyoles,15.4833,-86.6833,-06:00,America/Tegucigalpa
CYM,CYM,US,Chatham,57.5,-134.75,-09:00,America/Anchorage
CYO,CYO,CU,Cayo Largo Del Sur Vilo Acuna Intl,21.6164,-81.5461,-05:00,America/Havana
CYP,CYP,PH,Calbayog,12.0728,124.545,+08:00,Asia/Manila
CYR,CYR,UY,Colonia,-34.4567,-57.7708,-03:00,America/Montevideo
CYS,CYS,US,Cheyenne,41.1558,-104.8119,-07:00,America/Denver
CYT,CYT,US,Yakataga,60.0833,-142.4833,-09:00,America/Anchorage
CYU,CYU,PH,Cuyo,10.8586,121.0697,+08:00,Asia/Manila
CYW,CYW,MX,Celaya Capt. Rogelio Castillo,20.5461,-100.8867,-06:00,America/Mexico_City
CYX,CYX,RU,Chersky,68.7417,161.3375,+11:00,Asia/Srednekolymsk
CYY,CMF,FR,Chambery/Aix-Les-Bains Vidal Bus St,45.5711,5.92,+01:00,Europe/Paris
CYZ,CYZ,PH,Cauayan,16.9289,121.7553,+08:00,Asia/Manila
CZA,CZA,MX,Chichen-Itza International,20.6667,-88.5667,-06:00,America/Mexico_City
CZB,CZB,BR,Cruz Alta Carlos Ruhl,-28.6333,-53.5,-03:00,America/Araguaina
CZC,CZC,US,Copper Center 2,61.9667,-145.3167,-09:00,America/Anchorage
CZE,CZE,VE,Coro Jose Leonardo Chirinos,11.415,-69.6817,-04:00,America/Caracas
CZF,CZF,US,Cape Romanzof,61.7333,-166.0,-09:00,America/Anchorage
CZH,CZH,BZ,Corozal,18.3825,-88.4108,-06:00,America/Belize
CZJ,CZJ,PA,Corazon De Jesus,9.4444,-78.5853,-05:00,America/Panama
CZK,CZK,US,Cascade Locks State,45.6667,-121.9,-08:00,America/Los_Angeles
CZL,CZL,DZ,Constantine Mohamed Boudiaf,36.2761,6.6203,+01:00,Africa/Algiers
CZM,CZM,MX,Cozumel International,20.5217,-86.9369,-05:00,America/Hermosillo
CZN,CZN,US,Chisana,62.0736,-142.0511,-09:00,America/Anchorage
CZO,CZO,US,Chistochina,62.5667,-144.6667,-09:00,America/Anchorage
CZP,CZP,US,Cape Pole Sea Plane Base,55.9667,-133.7833,-09:00,America/Anchorage
CZS,CZS,BR,Cruzeiro Do Sul,-7.6,-72.7694,-05:00,America/Rio_Branco
CZT,CZT,US,Carrizo Springs Dimmit County,28.5167,-99.8667,-06:00,America/Chicago
CZU,CZU,CO,Corozal Las Brujas,9.3328,-75.2856,-05:00,America/Bogota
CZW,CZW,PL,Czestochowa Rudniki,50.8167,19.1,+01:00,Europe/Warsaw
CZX,CZX,CN,Changzhou,31.9194,119.7783,+08:00,Asia/Shanghai
CZY,CZY,AU,Cluny,-24.5,139.5,+10:00,Australia/Brisbane
CZZ,CZZ,US,Campo,32.5833,-116.4667,-08:00,America/Los_Angeles
DAA,DAA,US,Fort Belvoir,38.7147,-77.1806,-05:00,America/New_York
DAB,DAB,US,Daytona Beach,29.18,-81.0581,-05:00,America/New_York
DAC,DAC,BD,Dhaka,23.8433,90.3978,+06:00,Asia/Dhaka
DAD,DAD,VN,Da Nang,16.0439,108.1994,+07:00,Asia/Ho_Chi_Minh
DAE,DAE,IN,Daparizo,27.5,94.3333,+05:30,Asia/Kolkata
DAF,DAF,PG,Daup,-4.7333,144.95,+10:00,Pacific/Port_Moresby
DAG,DAG,US,Daggett Barstow-Dagge,34.85,-116.7833,-08:00,America/Los_Angeles
DAH,DAH,YE,Dathina,13.8667,46.1333,+03:00,Asia/Aden
DAI,DAI,IN,Darjeeling Off-Line Point,27.0333,88.3333,+05:30,Asia/Kolkata
DAJ,DAJ,AU,Dauan Island Heliport,-9.4333,142.5167,+10:00,Australia/Brisbane
DAK,DAK,EG,Dakhla Oasis,25.4167,29.0,+02:00,Africa/Cairo
DAL,DFW,US,Dallas/Fort Worth Love Field,32.8472,-96.8517,-06:00,America/Chicago
DAM,DAM,SY,Damascus,33.4106,36.5142,+03:00,Asia/Damascus
DAN,DAN,US,Danville Regional,36.5689,-79.3394,-05:00,America/New_York
DAO,DAO,PG,Dabo,-8.4333,147.8494,+10:00,Pacific/Port_Moresby
DAP,DAP,NP,Darchula,29.6667,80.5,+05:45,Asia/Kathmandu
DAQ,DQA,CN,Daqing Rail Station,46.5967,125.3717,+08:00,Asia/Shanghai
DAR,DAR,TZ,Dar Es Salaam,-6.8781,39.2025,+03:00,Africa/Dar_es_Salaam
DAS,DAS,CA,Great Bear Lake,66.7028,-119.7139,-07:00,America/Whitehorse
DAT,DAT,CN,Datong,39.7189,113.1461,+08:00,Asia/Shanghai
DAU,DAU,PG,Daru,-9.0867,143.2081,+10:00,Pacific/Port_Moresby
DAV,DAV,PA,David,8.3911,-82.435,-05:00,America/Panama
DAX,DAX,CN,Daxian,31.1319,107.4306,+08:00,Asia/Shanghai
DAY,DAY,US,Dayton,39.9025,-84.2194,-05:00,America/New_York
DAZ,DAZ,AF,Darwaz,38.4667,70.8833,+04:30,Asia/Kabul
DBA,DBA,PK,Dalbandin,28.8756,64.4039,+05:00,Asia/Karachi
DBB,DBB,EG,Dabah Al Alamain Intl,30.9244,28.4614,+02:00,Africa/Cairo
DBC,DBC,CN,Baicheng Chang'an,45.505,123.0189,+08:00,Asia/Shanghai
DBD,DBD,IN,Dhanbad,23.8,86.45,+05:30,Asia/Kolkata
DBK,DBK,LK,Dutch Bay Spb,8.2739,79.7653,+05:30,Asia/Colombo
DBL,DBL,CN,Dalianbei Rail Station,38.9236,121.6303,+08:00,Asia/Shanghai
DBM,DBM,ET,Debre Marcos,10.3333,37.7667,+03:00,Africa/Addis_Ababa
DBN,DBN,US,Dublin W. H. 'bud' Barron,32.55,-82.9833,-05:00,America/New_York
