Ville,Description jour,Timezone,Latitude,Longitude,Date,Heure_locale,Max_Température,Min_Température,Température_actuelle,Humidité,Precipitation,Neige,Neige_densité,Vent_rafale,Vent_vitesse,Vent_direction,Pression,Nuage,Visibilité,Radiation_solaire,Energy_solaire,Soleil_coucher,Alerte_risk,Description_detailed,Conditions_météo,Alertes_météo,Alertes_description,Vitesse_vent
"القاهرة, مصر",Similar temperatures continuing with no rain expected.,Africa/Cairo,30.0443,31.2353,2023-06-29,17:00:00,36.3,23.0,33.0,54.5,0.0,0.0,0.0,38.2,18.4,348.8,1011.4,25.8,,326.3,28.3,20:00:19,10.0,Partly cloudy throughout the day.,Partially cloudy,,,18.4
"دبي, الإمارات العربية المتحدة",Similar temperatures continuing with no rain expected.,Asia/Dubai,25.2695,55.3088,2023-06-29,18:00:00,41.0,31.8,35.9,60.5,0.0,0.0,,28.4,29.4,289.4,999.2,68.5,,381.0,32.9,19:13:04,38.0,Partly cloudy throughout the day.,Partially cloudy,,,29.4
"תל אביב-יפו, תל אביב, ישראל",Similar temperatures continuing with no rain expected.,Asia/Jerusalem,32.0856,34.7895,2023-06-29,17:20:00,29.0,22.0,28.0,70.6,0.0,0.0,0.0,37.4,22.3,238.9,1010.5,51.1,,362.9,31.5,19:51:10,10.0,Partly cloudy throughout the day.,Partially cloudy,,,22.3
"Johannesburg, Gauteng, South Africa",Similar temperatures continuing with no rain expected.,Africa/Johannesburg,-26.2049,28.0401,2023-06-29,16:15:00,16.7,4.8,14.1,57.2,0.0,0.0,0.0,40.3,13.0,259.9,1024.6,32.3,,166.4,14.3,17:26:41,10.0,Partly cloudy throughout the day.,Partially cloudy,,,13.0
"Heath Road, London, SW8 3, United Kingdom",Similar temperatures continuing with a chance of rain tomorrow & Saturday.,Europe/London,51.4691,-0.14523,2023-06-29,15:28:00,22.1,15.5,22.1,69.9,4.4,0.0,0.0,31.3,15.7,321.7,1015.8,77.3,,131.6,11.5,21:21:21,10.0,Partly cloudy throughout the day with rain clearing later.,"Rain, Partially cloudy",,,15.7
"Manchester, England, United Kingdom",Similar temperatures continuing with a chance of rain multiple days.,Europe/London,53.4796,-2.24874,2023-06-29,15:20:00,18.3,10.4,19.1,70.8,0.0,0.0,0.0,40.3,23.9,296.3,1016.9,46.9,,286.0,24.8,21:41:33,10.0,Partly cloudy throughout the day.,Partially cloudy,,,23.9
"Dublin, Ireland",Similar temperatures continuing with a chance of rain multiple days.,Europe/Dublin,53.3481,-6.24827,2023-06-29,15:30:00,19.8,9.3,18.3,70.5,0.1,0.0,0.0,43.2,21.0,264.5,1017.8,80.4,,201.5,17.6,21:56:44,10.0,Partly cloudy throughout the day.,Partially cloudy,,,21.0
"Birmingham, England, United Kingdom",Similar temperatures continuing with a chance of rain multiple days.,Europe/London,52.4789,-1.90592,2023-06-29,15:30:00,19.3,12.8,19.7,70.5,0.3,0.0,0.0,35.3,19.9,321.0,1016.8,57.7,,240.3,20.7,21:34:07,10.0,Partly cloudy throughout the day with early morning rain.,"Rain, Partially cloudy",,,19.9
"City Road, London, EC1V 1, United Kingdom",Similar temperatures continuing with a chance of rain tomorrow & Saturday.,Europe/London,51.5293,-0.09592,2023-06-29,15:26:00,22.1,15.7,21.1,70.0,4.4,0.0,0.0,31.3,16.1,319.6,1015.8,78.1,,124.0,10.8,21:21:29,10.0,Partly cloudy throughout the day with rain clearing later.,"Rain, Partially cloudy",,,16.1
"Nice, Provence-Alpes-Côte d'Azur, France",Similar temperatures continuing with a chance of rain tomorrow & Saturday.,Europe/Paris,43.7003,7.27768,2023-06-29,16:30:00,28.0,24.7,27.0,74.3,3.8,0.0,0.0,28.4,20.2,104.0,1014.2,88.3,,237.5,20.5,21:16:40,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",Moderate rain-flood warning,"Moderate damages may occur, especially in vulnerable or in exposed areas and to people who carry out weather-related activities.",20.2
"Nantes, Pays de la Loire, France",Similar temperatures continuing with no rain expected.,Europe/Paris,47.2181,-1.55306,2023-06-29,16:00:00,24.9,16.0,23.9,68.9,0.2,0.0,0.0,32.8,18.3,328.4,1017.3,75.9,,224.5,19.4,22:06:10,10.0,Partly cloudy throughout the day with afternoon rain.,"Rain, Partially cloudy",,,18.3
"Marseille, Provence-Alpes-Côte d'Azur, France",Similar temperatures continuing with a chance of rain tomorrow.,Europe/Paris,43.2934,5.37132,2023-06-29,16:30:00,30.2,20.2,30.1,61.2,0.0,0.0,0.0,36.0,24.0,170.6,1013.9,36.4,,304.6,26.2,21:22:47,30.0,Becoming cloudy in the afternoon with storms possible.,"Rain, Partially cloudy",Moderate thunderstorm warning,"Moderate damages may occur, especially in vulnerable or in exposed areas and to people who carry out weather-related activities.",24.0
"Paris, Île-de-France, France",Similar temperatures continuing with a chance of rain Saturday.,Europe/Paris,48.8572,2.34141,2023-06-29,16:17:00,25.2,18.0,23.7,67.8,0.4,0.0,0.0,44.6,17.9,343.2,1015.8,93.0,,55.6,4.9,21:58:04,10.0,Cloudy skies throughout the day with a chance of rain.,"Rain, Overcast",Moderate thunderstorm warning,"Moderate damages may occur, especially in vulnerable or in exposed areas and to people who carry out weather-related activities.",17.9
"Amsterdam, Noord-Holland, Nederland","Similar temperatures continuing with a chance of rain Saturday, Tuesday & Wednesday.",Europe/Amsterdam,52.3699,4.90788,2023-06-29,16:26:00,21.8,15.4,20.4,83.4,2.3,0.0,0.0,41.8,28.0,242.0,1014.1,77.3,,135.5,11.8,22:06:14,10.0,Partly cloudy throughout the day with rain clearing later.,"Rain, Partially cloudy",,,28.0
Luxembourg,"Warming up with a chance of rain tomorrow, Saturday & Sunday.",Europe/Luxembourg,49.6096,6.12966,2023-06-29,16:20:00,25.1,16.0,24.0,64.6,0.4,0.0,0.0,20.5,11.2,51.3,1015.6,72.8,,186.4,16.1,21:46:33,10.0,Partly cloudy throughout the day with late afternoon rain.,"Rain, Partially cloudy",,,11.2
"Brussels, Belgium","Similar temperatures continuing with a chance of rain Saturday, Tuesday & Wednesday.",Europe/Brussels,50.8444,4.35609,2023-06-29,16:25:00,22.2,15.5,21.7,77.4,0.3,0.0,0.0,38.2,16.4,253.3,1015.3,81.3,,145.6,12.6,21:59:58,10.0,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",,,16.4
"Dresden, Sachsen, Deutschland",Similar temperatures continuing with a chance of rain tomorrow.,Europe/Berlin,51.0536,13.7408,2023-06-29,16:30:00,26.1,12.0,27.1,58.9,0.0,0.0,0.0,22.0,13.0,242.4,1015.5,46.0,,339.3,29.5,21:23:33,10.0,Partly cloudy throughout the day.,Partially cloudy,,,13.0
"Berlin, Deutschland","Warming up with a chance of rain tomorrow, Saturday & Sunday.",Europe/Berlin,52.516,13.3769,2023-06-29,16:20:00,24.0,13.0,25.0,66.7,0.0,0.0,0.0,20.2,11.2,238.2,1014.9,65.1,,202.5,17.2,21:33:13,10.0,Partly cloudy throughout the day.,Partially cloudy,,,11.2
"Düsseldorf, Nordrhein-Westfalen, Deutschland","Warming up with a chance of rain tomorrow, Saturday & Sunday.",Europe/Berlin,51.2156,6.77662,2023-06-29,16:20:00,24.0,18.8,24.0,70.3,0.3,0.0,0.0,20.9,12.0,191.7,1014.6,85.1,,119.5,10.2,21:52:17,10.0,Partly cloudy throughout the day with a chance of rain.,"Rain, Partially cloudy",,,12.0
"Frankfurt am Main, Hessen, Deutschland","Warming up with a chance of rain tomorrow, Saturday & Sunday.",Europe/Berlin,50.1121,8.68342,2023-06-29,16:20:00,26.0,14.0,25.9,65.8,0.5,0.0,0.0,36.4,14.8,212.2,1015.0,86.9,,226.5,19.4,21:38:52,10.0,Partly cloudy throughout the day with afternoon rain.,"Rain, Partially cloudy",,,14.8
"München, Bayern, Deutschland",Warming up with a chance of rain multiple days.,Europe/Berlin,48.1364,11.5775,2023-06-29,16:24:00,27.0,9.2,27.1,57.6,0.0,0.0,0.0,21.2,11.8,82.9,1016.1,24.1,,320.4,27.9,21:17:46,10.0,Partly cloudy throughout the day with a chance of rain.,"Rain, Partially cloudy",,,11.8
"Stuttgart, Baden-Württemberg, Deutschland","Warming up with a chance of rain tomorrow, Wednesday & Thursday.",Europe/Berlin,48.7678,9.17203,2023-06-29,16:28:00,28.0,13.0,27.0,55.9,0.0,0.0,0.0,24.1,10.1,293.3,1015.5,50.5,,260.5,22.5,21:30:19,10.0,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",,,10.1
"Nürnberg, Bayern, Deutschland","Warming up with a chance of rain tomorrow, Wednesday & Thursday.",Europe/Berlin,49.4543,11.0735,2023-06-29,16:20:00,28.0,11.0,27.9,52.7,0.0,0.0,0.0,17.3,11.2,137.2,1015.4,43.9,,342.6,29.7,21:26:01,10.0,Becoming cloudy in the afternoon.,Partially cloudy,,,11.2
"Oslo, Norge",Similar temperatures continuing with a chance of rain multiple days.,Europe/Oslo,59.9123,10.75,2023-06-29,16:25:00,22.7,16.0,22.3,78.1,1.2,0.0,0.0,39.6,18.7,181.7,1008.7,84.7,,221.6,19.2,22:42:26,10.0,Partly cloudy throughout the day with rain clearing later.,"Rain, Partially cloudy",,,18.7
"Stockholm, Stockholms län, Sverige",Similar temperatures continuing with a chance of rain multiple days.,Europe/Stockholm,59.3326,18.0668,2023-06-29,16:20:00,27.9,17.9,28.7,54.7,0.1,0.0,0.0,27.0,17.9,230.4,1008.1,65.9,,271.3,23.5,22:06:59,10.0,Partly cloudy throughout the day with morning rain.,"Rain, Partially cloudy",,,17.9
"København, Hovedstaden, Danmark",Similar temperatures continuing with a chance of rain multiple days.,Europe/Copenhagen,55.6757,12.5676,2023-06-29,16:25:00,21.9,14.9,20.3,83.3,0.0,0.0,0.0,25.9,18.1,212.4,1012.9,83.7,,130.7,11.1,21:57:12,10.0,Partly cloudy throughout the day with a chance of rain.,"Rain, Partially cloudy",,,18.1
"Tallinn, Eesti",Similar temperatures continuing with a chance of rain multiple days.,Europe/Tallinn,59.4364,24.7526,2023-06-29,17:20:00,23.1,15.9,23.0,69.1,0.0,0.0,0.0,27.7,20.4,326.1,1007.7,65.1,,288.2,25.1,22:41:20,10.0,Clearing in the afternoon.,Partially cloudy,STURMBÖEN,Extremely high risk of forest fires!,20.4
"Warszawa, Woj. Mazowieckie, Polska",Warming up with a chance of rain tomorrow & Saturday.,Europe/Warsaw,52.2356,21.0104,2023-06-29,16:30:00,25.9,12.9,20.2,72.0,0.3,0.0,0.0,41.4,27.5,297.4,1012.2,53.8,,267.3,23.1,21:01:03,10.0,Partly cloudy throughout the day.,Partially cloudy,,,27.5
"Kraków, Woj. Małopolskie, Polska",Similar temperatures continuing with a chance of rain multiple days.,Europe/Warsaw,50.0605,19.9324,2023-06-29,16:30:00,22.9,13.0,23.0,78.4,1.3,0.0,0.0,32.0,22.1,247.3,1015.0,55.9,,256.8,22.1,20:53:36,10.0,Partly cloudy throughout the day with early morning rain.,"Rain, Partially cloudy",,,22.1
"София, България",Warming up with a chance of rain multiple days.,Europe/Sofia,42.6972,23.3243,2023-06-29,17:29:00,22.0,12.0,26.7,72.5,9.3,0.0,0.0,36.7,16.6,284.2,1017.7,42.0,,328.9,28.6,21:08:49,10.0,Partly cloudy throughout the day with early morning rain.,"Rain, Partially cloudy",,,16.6
"Београд, Централна Србија, Србија","Similar temperatures continuing with a chance of rain Saturday, Sunday & Wednesday.",Europe/Belgrade,44.8131,20.4633,2023-06-29,16:00:00,25.6,13.3,25.6,68.6,0.0,0.0,0.0,26.6,15.4,249.8,1016.9,24.3,,277.2,23.9,20:28:11,10.0,Partly cloudy throughout the day.,Partially cloudy,,,15.4
"Wien, Österreich",Similar temperatures continuing with a chance of rain multiple days.,Europe/Vienna,48.2026,16.3684,2023-06-29,16:20:00,26.5,11.0,28.3,53.8,0.0,0.0,0.0,22.3,13.0,305.4,1016.3,17.6,,354.4,30.7,20:58:54,10.0,Clear conditions throughout the day.,Clear,Thunderstormwarning,Thunderstorms with gusts are expected.,13.0
"Via Malpensa, 20092 Cinisello Balsamo MI, Italia",Similar temperatures continuing with a chance of rain multiple days.,Europe/Rome,45.568,9.21712,2023-06-29,16:30:00,28.5,21.0,28.1,52.9,0.0,0.0,0.0,29.5,16.5,99.9,1016.0,73.9,,214.0,18.4,21:16:10,10.0,Partly cloudy throughout the day.,Partially cloudy,Yellow Thunderstorm Warning,"Moderate intensity weather phenomena expected
 (DISCLAIMER: ""Information provided on METEOALARM for Italy regard only the intensity and recurrence of the phenomena, further details can be found at www.meteoam.it. METEOALARM information do not provide the assessment of impact on the territory and they do not represent the Official Alerts messages that are issued by the National Civil Protection Service https://www.protezionecivile.gov.it"")",16.5
"Venezia, Veneto, Italia",Similar temperatures continuing with a chance of rain multiple days.,Europe/Rome,45.4381,12.3181,2023-06-29,16:29:00,27.1,19.0,27.5,59.0,0.0,0.0,0.0,25.9,18.0,128.3,1016.0,35.8,,280.9,24.4,21:03:14,10.0,Partly cloudy throughout the day.,Partially cloudy,Yellow Thunderstorm Warning,"Moderate intensity weather phenomena expected
 (DISCLAIMER: ""Information provided on METEOALARM for Italy regard only the intensity and recurrence of the phenomena, further details can be found at www.meteoam.it. METEOALARM information do not provide the assessment of impact on the territory and they do not represent the Official Alerts messages that are issued by the National Civil Protection Service https://www.protezionecivile.gov.it"")",18.0
"Bologna, Emilia Romagna, Italia",Similar temperatures continuing with a chance of rain multiple days.,Europe/Rome,44.5048,11.3451,2023-06-29,16:15:00,29.1,18.0,28.9,57.7,0.0,0.0,0.0,35.6,20.2,101.5,1015.5,36.5,,334.1,28.8,21:03:27,10.0,Partly cloudy throughout the day.,Partially cloudy,Orange Thunderstorm Warning,"Severe weather expected
 (DISCLAIMER: ""Information provided on METEOALARM for Italy regard only the intensity and recurrence of the phenomena, further details can be found at www.meteoam.it. METEOALARM information do not provide the assessment of impact on the territory and they do not represent the Official Alerts messages that are issued by the National Civil Protection Service https://www.protezionecivile.gov.it"")",20.2
"Firenze, Toscana, Italia",Warming up with a chance of rain multiple days.,Europe/Rome,43.7824,11.255,2023-06-29,16:20:00,32.0,20.0,31.9,41.1,0.0,0.0,0.0,18.7,18.4,226.2,1014.2,17.4,,536.3,46.2,21:01:04,10.0,Clear conditions throughout the day.,Clear,Orange Thunderstorm Warning,"Severe weather expected
 (DISCLAIMER: ""Information provided on METEOALARM for Italy regard only the intensity and recurrence of the phenomena, further details can be found at www.meteoam.it. METEOALARM information do not provide the assessment of impact on the territory and they do not represent the Official Alerts messages that are issued by the National Civil Protection Service https://www.protezionecivile.gov.it"")",18.4
"Napoli, Campania, Italia",Similar temperatures continuing with a chance of rain Saturday.,Europe/Rome,40.8401,14.2523,2023-06-29,16:20:00,29.9,22.0,29.0,67.3,0.0,0.0,0.0,26.3,13.3,347.5,1014.0,18.8,,269.4,23.3,20:38:41,10.0,Clear conditions throughout the day.,Clear,,,13.3
"Brindisi, Puglia, Italia",Similar temperatures continuing with no rain expected.,Europe/Rome,40.6347,17.9403,2023-06-29,16:20:00,26.0,19.6,25.0,73.0,0.0,0.0,0.0,35.3,29.5,344.4,1014.0,34.4,,346.2,29.9,20:23:15,30.0,Partly cloudy throughout the day.,Partially cloudy,,,29.5
"Roma, Lazio, Italia",Warming up with a chance of rain tomorrow & Saturday.,Europe/Rome,41.9032,12.4957,2023-06-29,16:20:00,30.2,21.3,30.5,69.2,0.1,0.0,0.0,33.1,16.1,252.3,1013.8,35.2,,279.4,24.3,20:49:20,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",Yellow Thunderstorm Warning,"Moderate intensity weather phenomena expected
 (DISCLAIMER: ""Information provided on METEOALARM for Italy regard only the intensity and recurrence of the phenomena, further details can be found at www.meteoam.it. METEOALARM information do not provide the assessment of impact on the territory and they do not represent the Official Alerts messages that are issued by the National Civil Protection Service https://www.protezionecivile.gov.it"")",16.1
"Palermo, Sicilia, Italia",Similar temperatures continuing with no rain expected.,Europe/Rome,38.1221,13.3611,2023-06-29,16:17:00,27.1,21.0,28.4,78.0,0.0,0.0,0.0,23.4,23.6,26.9,1013.8,34.7,,335.9,28.9,20:33:37,10.0,Partly cloudy throughout the day.,Partially cloudy,,,23.6
"Αθήνα, Αττική, Ελληνικη Δημοκρατια",Similar temperatures continuing with no rain expected.,Europe/Athens,37.9761,23.7364,2023-06-29,17:27:00,30.2,23.4,31.3,53.5,0.0,0.0,0.0,44.6,25.1,49.4,1011.8,24.9,,233.1,20.0,20:51:40,10.0,Partly cloudy throughout the day.,Partially cloudy,,,25.1
"Θεσσαλονίκη, Κεντρική Μακεδονία, Ελληνικη Δημοκρατια",Similar temperatures continuing with no rain expected.,Europe/Athens,40.6396,22.9371,2023-06-29,17:25:00,27.4,21.0,26.6,64.5,0.0,0.0,0.0,40.7,25.9,323.6,1013.3,38.9,,170.3,14.7,21:03:17,10.0,Partly cloudy throughout the day.,Partially cloudy,Severe Rain warning,Temporarily heavy rain,25.9
"București, România",Warming up with a chance of rain Sunday & Monday.,Europe/Bucharest,44.4343,26.103,2023-06-29,17:27:10,26.7,14.0,28.5,69.6,0.0,0.0,0.0,31.0,16.1,267.9,1014.4,60.1,,43.4,3.5,21:04:09,10.0,Partly cloudy throughout the day.,Partially cloudy,,,16.1
"Barcelona, Catalunya, Espanya",Similar temperatures continuing with a chance of rain multiple days.,Europe/Madrid,41.388,2.17001,2023-06-29,16:22:57,27.9,22.9,28.6,71.4,1.2,0.0,0.0,27.0,20.3,157.5,1015.1,54.3,,288.1,24.7,21:28:52,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",Moderate rain warning,One-hour accumulated precipitation: 20 mm.,20.3
"Madrid, Comunidad de Madrid, España",Similar temperatures continuing with no rain expected.,Europe/Madrid,40.4196,-3.69196,2023-06-29,16:24:00,35.7,19.5,33.4,35.0,0.0,0.0,0.0,51.8,23.4,300.4,1014.9,13.6,,373.6,32.2,21:49:04,10.0,Clear conditions throughout the day.,Clear,Moderate high-temperature warning,Maximum temperature: 36 ºC.,23.4
"Porto, Portugal",Similar temperatures continuing with no rain expected.,Europe/Lisbon,41.1459,-8.61081,2023-06-29,15:21:00,22.5,15.7,23.1,76.7,0.0,0.0,0.0,59.4,30.8,334.2,1018.8,17.6,,332.7,28.7,21:11:10,10.0,Clear conditions throughout the day.,Clear,,,30.8
"Lisboa, Portugal",Similar temperatures continuing with no rain expected.,Europe/Lisbon,38.7264,-9.14949,2023-06-29,15:30:00,26.4,18.4,24.8,69.5,0.0,0.0,0.0,57.6,35.9,342.2,1018.8,26.8,,264.0,22.8,21:05:30,10.0,Partly cloudy throughout the day.,Partially cloudy,Yellow Wind Warning,"Wind from the north/northwest, sometimes strong and with gusts up to 75 km/h.",35.9
"Málaga, Andalucía, España",Warming up with no rain expected.,Europe/Madrid,36.7185,-4.41965,2023-06-29,16:00:00,29.0,20.9,29.1,71.4,0.0,0.0,0.0,14.0,24.1,84.4,1013.7,2.7,,363.8,31.5,21:40:34,10.0,Clear conditions throughout the day.,Clear,,,24.1
"València, Comunitat Valenciana, Espanya",Similar temperatures continuing with no rain expected.,Europe/Madrid,39.4689,-0.37686,2023-06-29,16:30:00,30.5,21.1,28.1,70.6,0.0,0.0,0.0,42.8,18.4,76.3,1014.3,49.7,,298.4,25.8,21:32:44,15.0,Partly cloudy throughout the day.,Partially cloudy,,,18.4
"Palma, Illes Balears, Espanya",Similar temperatures continuing with no rain expected.,Europe/Madrid,39.5715,2.64694,2023-06-29,16:15:00,33.0,21.0,27.8,68.8,0.0,0.0,0.0,22.3,31.7,199.3,1014.7,28.9,,343.8,29.6,21:20:58,10.0,Clearing in the afternoon.,Partially cloudy,,,31.7
"Alicante, Comunidad Valenciana, España",Similar temperatures continuing with no rain expected.,Europe/Madrid,38.3441,-0.48043,2023-06-29,16:26:00,28.1,21.0,28.7,75.1,0.0,0.0,0.0,25.9,14.6,85.9,1014.0,33.2,,332.2,28.7,21:29:39,15.0,Partly cloudy throughout the day.,Partially cloudy,,,14.6
"مراكش, مراكش - آسفي, المغرب",Similar temperatures continuing with no rain expected.,Africa/Casablanca,31.6338,-8.00222,2023-06-29,15:30:00,38.1,21.0,38.0,43.4,0.0,0.0,0.0,41.8,20.2,340.9,1016.5,0.8,,359.6,30.9,20:41:12,10.0,Clear conditions throughout the day.,Clear,,,20.2
"Budapest, Magyarország",Similar temperatures continuing with a chance of rain Saturday & Thursday.,Europe/Budapest,47.4997,19.0551,2023-06-29,16:25:00,26.6,11.0,27.7,58.4,0.0,0.0,0.0,33.8,18.4,306.9,1015.2,41.7,,257.5,22.1,20:44:59,10.0,Becoming cloudy in the afternoon.,Partially cloudy,,,18.4
"Ljubljana, Slovenija",Similar temperatures continuing with a chance of rain multiple days.,Europe/Ljubljana,46.0506,14.5028,2023-06-29,16:15:00,26.0,10.0,28.8,70.1,0.0,0.0,0.0,12.6,7.6,140.7,1017.3,16.3,,370.7,32.2,20:56:59,10.0,Clear conditions throughout the day.,Clear,,,7.6
"Dulles, Sterling, VA, United States",Similar temperatures continuing with a chance of rain multiple days.,America/New_York,39.0278,-77.3972,2023-06-29,10:30:00,30.0,15.2,24.6,64.0,0.0,0.0,0.0,11.2,8.0,275.3,1016.7,44.3,,310.9,26.8,20:39:25,10.0,Clearing in the afternoon.,Partially cloudy,Air Quality Alert,"...AIR QUALITY ALERT IS IN EFFECT FOR THURSDAY JUNE 29 2023...
The Virginia Department of Environmental Quality has issued a
Code RED Air Quality Alert Thursday for
Northern Virginia.
A Code Red Air Quality Alert means that air pollution
concentrations within the region are unhealthy for the general
population. The effects of air pollution can be minimized by
avoiding strenuous activity or exercise outdoors.
For more information on ground-level ozone and fine particles
visit the web site Virginia DEQ air quality web site at
www.deq.virginia.gov.",8.0
