City,Description jour,Timezone,Latitude,Longitude,Date,Current time,Max_Température,Min_Température,Current temperature,Humidité,Precipitation,Neige,Neige_densité,Vent_rafale,Vent_vitesse,Vent_direction,Pression,Nuage,Visibilité,Solar radiation,Energy_solaire,Soleil_coucher,Alert risk,Description,Weather conditions,Weather alerts,Alertes_description,Vitesse_vent
"Quetzaltenango, Guatemala",Similar temperatures continuing with a chance of rain multiple days.,America/Guatemala,14.8209,-91.5166,2023-07-06,15:00:00,22.0,8.0,20.0,87.6,5.2,0.0,0.0,12.2,10.8,61.4,1015.3,71.7,,143.4,12.3,18:40:00,60.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,10.8
"Абакан, Сибирский федеральный округ, Россия","Warming up with a chance of rain tomorrow, Sunday & Monday.",Asia/Krasnoyarsk,53.7204,91.4442,2023-07-07,04:00:00,28.6,15.2,18.0,62.4,1.3,0.0,0.0,16.9,16.6,347.7,1006.1,69.9,,309.8,26.9,21:24:34,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,16.6
"Carrer d'Albacete, 08225 Terrassa (Barcelona), Espanya",Similar temperatures continuing with a chance of rain tomorrow & Saturday.,Europe/Madrid,41.57947,2.00521,2023-07-06,23:06:35,29.7,19.2,22.9,67.6,1.6,0.0,0.0,28.4,21.8,123.7,1015.8,31.8,,196.9,17.1,21:28:55,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",Moderate rain warning,One-hour accumulated precipitation: 20 mm. Persistencia de chubascos intensos.,21.8
"Abadan, Ankara, Türkiye",Warming up with no rain expected.,Europe/Istanbul,40.1158,32.8663,2023-07-07,23:50:00,30.6,17.9,23.2,47.2,0.2,0.0,0.0,40.0,18.0,343.1,1010.0,37.6,,344.0,29.8,20:20:28,10.0,Partly cloudy throughout the day.,Partially cloudy,,,18.0
"Allentown, PA, United States","Similar temperatures continuing with a chance of rain tomorrow, Sunday & Monday.",America/New_York,40.6026,-75.4703,2023-07-06,17:10:00,31.7,21.6,30.1,74.2,3.135,0.0,0.0,18.4,12.2,154.9,1013.7,32.2,,238.4,20.6,20:35:34,30.0,Becoming cloudy in the afternoon with storms possible.,"Rain, Partially cloudy",Air Quality Alert,"...AIR QUALITY ALERT IS IN EFFECT FOR THURSDAY JULY 6...
The Pennsylvania Department of Environmental Protection has
issued a code orange air quality alert Thursday for The Lehigh
Valley/Berks County area.
A code orange air quality alert means that air pollution
concentrations within the region may become unhealthy for
sensitive groups. Sensitive groups include children...people
suffering from asthma... heart disease or other lung
diseases...and the elderly. The effects of air pollution can
be minimized by avoiding strenuous activity or exercise outdoors.
For more information on ground-level ozone and fine
particles...visit http://www.depweb.state.pa.us",12.2
"Abalang, Um Rawaba, Sudan",Similar temperatures continuing with a chance of rain multiple days.,Africa/Khartoum,12.68611,31.39082,2023-07-06,23:00:00,37.2,28.5,28.5,43.8,0.1,0.0,0.0,38.5,36.4,197.0,1008.1,71.8,,281.2,24.2,18:24:31,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,36.4
"Abingdon Downs, QLD 4892, Australia",Similar temperatures continuing with no rain expected.,Australia/Brisbane,-17.86265,143.70203,2023-07-07,07:00:00,31.0,17.7,17.7,39.6,0.0,0.0,0.0,42.8,20.5,148.2,1015.8,47.4,,214.4,18.6,18:03:04,10.0,Partly cloudy throughout the day.,Partially cloudy,,,20.5
"Alpha, NJ, United States","Similar temperatures continuing with a chance of rain tomorrow, Sunday & Monday.",America/New_York,40.6662,-75.1602,2023-07-06,17:05:00,31.6,21.3,28.5,73.0,3.424,0.0,0.0,31.7,15.0,205.0,1013.2,30.0,,143.8,12.3,20:34:32,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",Air Quality Alert,"...AIR QUALITY ALERT IS IN EFFECT FOR THURSDAY JULY 6...
The New Jersey Department of Environmental Protection has
issued a code orange air quality alert Thursday for Sussex and
Warren Counties.
A code orange air quality alert means that air pollution
concentrations within the region may become unhealthy for
sensitive groups. Sensitive groups include children...people
suffering from asthma... heart disease or other lung
diseases...and the elderly. The effects of air pollution can
be minimized by avoiding strenuous activity or exercise outdoors.
For more information on ground-level ozone and fine
particles...visit http://www.state.nj.us/dep/",15.0
"Abilene, TX, United States",Similar temperatures continuing with no rain expected.,America/Chicago,32.4492,-99.7414,2023-07-06,16:15:00,34.5,24.7,28.2,59.5,1.786,0.0,0.0,33.5,20.5,137.7,1012.4,20.2,,195.8,16.9,20:49:43,30.0,Becoming cloudy in the afternoon with storms possible.,"Rain, Partially cloudy",,,20.5
"Abidjan, Côte d'Ivoire",Similar temperatures continuing with a chance of rain multiple days.,Africa/Abidjan,5.32691,-4.02173,2023-07-06,21:00:00,29.0,24.9,25.0,94.3,11.3,0.0,,28.1,27.7,242.5,1012.6,51.7,,242.6,20.9,18:33:26,10.0,Partly cloudy throughout the day with a chance of rain throughout the day.,"Rain, Partially cloudy",,,27.7
"Ambler, PA, United States","Similar temperatures continuing with a chance of rain tomorrow, Sunday & Monday.",America/New_York,40.1556,-75.2197,2023-07-06,17:03:00,32.8,20.2,32.3,74.2,0.3,0.0,0.0,18.4,14.9,152.8,1013.6,28.2,,264.5,22.7,20:33:09,60.0,Partly cloudy throughout the day.,Partially cloudy,,,14.9
"Albina, Suriname",Similar temperatures continuing with a chance of rain multiple days.,America/Paramaribo,5.50036,-54.0617,2023-07-06,18:00:00,30.9,22.4,25.5,89.9,6.2,0.0,0.0,35.3,7.6,103.7,1013.2,78.8,,153.8,13.1,18:53:54,60.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,7.6
"Aboisso, Comoé, Côte d'Ivoire",Similar temperatures continuing with a chance of rain multiple days.,Africa/Abidjan,5.46665,-3.21751,2023-07-06,21:00:00,26.8,22.8,25.0,88.6,8.1,0.0,0.0,22.0,13.7,215.3,1013.3,72.5,,158.3,13.7,18:30:27,10.0,Partly cloudy throughout the day with a chance of rain throughout the day.,"Rain, Partially cloudy",,,13.7
"Albuquerque, NM, United States",Similar temperatures continuing with no rain expected.,America/Denver,35.0842,-106.649,2023-07-06,15:15:00,37.8,21.7,36.8,18.0,0.0,0.0,0.0,35.3,22.3,234.1,1007.0,29.9,,389.5,33.6,20:24:09,10.0,Partly cloudy throughout the day.,Partially cloudy,Heat Advisory,"...HEAT ADVISORY REMAINS IN EFFECT UNTIL 8 PM MDT THIS EVENING...
* WHAT...Temperatures up to 103 degrees expected.
* WHERE...Middle Rio Grande Valley including the Albuquerque Metro
Area.
* WHEN...Until 8 PM MDT this evening.
* IMPACTS...Hot temperatures may cause heat illnesses.
* ADDITIONAL DETAILS...The hottest temperatures will be at the
bottom of the Rio Grande Valley with slightly cooler readings near
the foothills.",22.3
"Aberdeen, SD, United States",Similar temperatures continuing with a chance of rain tomorrow.,America/Chicago,45.45909,-98.48691,2023-07-06,16:15:00,25.6,6.8,25.9,65.0,0.0,0.0,0.0,33.5,22.3,182.5,1018.3,6.5,,336.2,28.8,21:24:42,10.0,Clear conditions throughout the day.,Clear,Flood Warning,"...The Flood Warning continues for the following rivers in South
Dakota...
James River At Columbia affecting Brown County.
James River near Stratford affecting Spink and Brown Counties.
.For sites with a river forecast, the forecast includes
precipitation through the next 24 hours. Any future precipitation
could affect the forecasts.
...FLOOD WARNING REMAINS IN EFFECT UNTIL FURTHER NOTICE...
* WHAT...Moderate flooding is occurring and moderate flooding is
forecast.
* WHERE...James River At Columbia.
* WHEN...Until further notice.
* IMPACTS...At 17.0 feet, Water reaches the base of the levee at the
old location of Columbia Park
* ADDITIONAL DETAILS...
- At 12:00 PM CDT Sunday the stage was 16.3 feet.
- Recent Activity...The maximum river stage in the 24 hours
ending at 12:00 PM CDT Sunday was 16.4 feet.
- Forecast...The river is expected to remain steady above flood
stage at 16.3 feet.
- Flood stage is 13.0 feet.
- http://www.weather.gov/safety/flood
&&",22.3
"Calle Abu Simbel, Villa Flores, 28983 Ciudad de Villa de Álvarez, Col, México",Similar temperatures continuing with a chance of rain multiple days.,America/Mexico_City,19.2593,-103.764,2023-07-06,14:40:00,32.1,21.4,29.0,80.3,0.8,0.0,0.0,16.2,17.6,200.1,1011.3,98.5,,229.4,20.0,19:37:16,30.0,Cloudy skies throughout the day with storms possible.,"Rain, Overcast",,,17.6
"العقيق, السعودية",Similar temperatures continuing with no rain expected.,Asia/Riyadh,20.26532,41.63435,2023-07-07,00:00:00,37.5,26.4,30.0,21.7,0.0,0.0,0.0,30.2,35.6,294.1,1006.6,77.4,,311.5,26.8,18:57:36,30.0,Partly cloudy throughout the day.,Partially cloudy,,,35.6
"Abuja, Federal Capital Territory, Nigeria",Similar temperatures continuing with a chance of rain multiple days.,Africa/Lagos,9.06344,7.46229,2023-07-06,22:00:00,30.0,22.0,26.0,83.7,1.3,0.0,0.0,8.3,14.8,235.3,1013.4,64.3,,284.5,24.6,18:53:53,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,14.8
"Albury, NSW 2640, Australia",Similar temperatures continuing with a chance of rain tomorrow.,Australia/Sydney,-36.081,146.918,2023-07-07,06:55:23,9.8,5.2,7.3,94.4,4.3,0.0,0.0,29.9,14.4,320.0,1012.7,82.5,,23.2,2.0,17:11:15,10.0,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",,,14.4
"Albany, NY, United States","Similar temperatures continuing with a chance of rain tomorrow, Sunday & Monday.",America/New_York,42.6516,-73.7552,2023-07-06,17:05:00,32.8,20.9,32.7,69.0,0.3,0.0,0.0,35.3,11.3,171.1,1013.2,39.6,,198.9,17.0,20:35:31,60.0,Becoming cloudy in the afternoon.,Partially cloudy,Heat Advisory,"...HEAT ADVISORY REMAINS IN EFFECT UNTIL 8 PM EDT THIS EVENING...
* WHAT...Heat index values between 95 and 100 degrees.
* WHERE...Much of the Hudson and Mohawk River valleys in eastern
New York and eastern Windham County in southern Vermont.
* WHEN...Until 8 PM EDT this evening.
* IMPACTS...Hot temperatures and high humidity may cause heat
illnesses to occur.",11.3
"Aberdeen, Scotland, United Kingdom",Similar temperatures continuing with a chance of rain multiple days.,Europe/London,57.14555,-2.10249,2023-07-06,21:50:00,18.0,8.0,14.0,80.0,0.2,0.0,0.0,43.2,31.7,179.1,1008.6,75.9,,286.9,24.6,22:03:02,10.0,Partly cloudy throughout the day with late afternoon rain.,"Rain, Partially cloudy",,,31.7
"Acapulco de Juárez, GRO, México",Similar temperatures continuing with a chance of rain multiple days.,America/Mexico_City,16.8495,-99.9094,2023-07-06,14:45:00,29.7,26.7,25.4,76.6,4.4,0.0,,35.6,31.7,112.7,1010.5,94.2,,179.7,15.5,19:17:17,30.0,Cloudy skies throughout the day with storms possible.,"Rain, Overcast",,,31.7
"Bellaire, MI, United States",Similar temperatures continuing with no rain expected.,America/Detroit,44.98317,-85.21027,2023-07-06,16:55:00,23.0,15.6,23.0,76.8,3.878,0.0,0.0,30.8,18.4,346.5,1013.9,67.9,,240.0,20.7,21:29:47,10.0,Partly cloudy throughout the day with rain clearing later.,"Rain, Partially cloudy",,,18.4
"Accra, Ghana",Similar temperatures continuing with no rain expected.,Africa/Accra,5.57889,-0.23261,2023-07-06,21:00:00,28.0,24.1,26.0,88.7,0.4,0.0,,31.3,25.9,202.9,1012.7,67.8,,259.3,22.5,18:18:42,10.0,Partly cloudy throughout the day with a chance of rain throughout the day.,"Rain, Partially cloudy",,,25.9
"Acandí, Colombia",Similar temperatures continuing with a chance of rain multiple days.,America/Bogota,8.50935,-77.28088,2023-07-06,16:00:00,28.4,23.5,26.5,89.8,10.9,0.0,,9.7,7.2,242.4,1009.5,90.9,,116.2,9.9,18:31:55,75.0,Cloudy skies throughout the day with strong storms possible.,"Rain, Overcast",,,7.2
"Lanzarote, Valleseco, Islas Canarias, España",Warming up with no rain expected.,Atlantic/Canary,28.0434,-15.579,2023-07-06,22:00:00,28.0,18.5,23.6,66.5,0.2,0.0,0.0,70.6,51.8,8.4,1016.1,28.6,,317.5,27.3,21:02:41,10.0,Clearing in the afternoon with rain clearing later.,"Rain, Partially cloudy",,,51.8
"Altenrhein, Thal, Sankt Gallen, Schweiz",Similar temperatures continuing with a chance of rain multiple days.,Europe/Zurich,47.4904,9.55175,2023-07-06,22:50:00,24.0,13.0,16.9,74.4,1.9,0.0,0.0,27.0,13.0,301.7,1018.8,42.0,,282.9,24.5,21:20:57,10.0,Partly cloudy throughout the day with a chance of rain throughout the day.,"Rain, Partially cloudy",,,13.0
"Alderney, Guernsey, Guernsey",Similar temperatures continuing with a chance of rain tomorrow & Saturday.,Europe/Guernsey,49.7143,-2.20523,2023-07-06,21:50:00,20.9,11.4,14.9,79.9,0.0,0.0,0.0,28.8,20.5,195.3,1016.8,29.0,,347.5,30.1,21:18:02,10.0,Partly cloudy throughout the day.,Partially cloudy,,,20.5
"Anuradhapura, North Central, Sri Lanka",Similar temperatures continuing with no rain expected.,Asia/Colombo,8.33021,80.4085,2023-07-07,03:00:00,31.4,24.6,25.3,73.8,0.9,0.0,0.0,46.8,30.6,230.0,1010.0,98.4,,181.0,15.5,18:30:54,10.0,Cloudy skies throughout the day.,Overcast,,,30.6
"Nantucket, MA, United States",Similar temperatures continuing with no rain expected.,America/New_York,41.2836,-70.0987,2023-07-06,17:00:00,23.4,18.9,23.8,95.1,0.0,0.0,0.0,29.5,16.6,208.7,1014.8,93.1,,312.8,27.3,20:16:18,10.0,Cloudy skies throughout the day.,Overcast,,,16.6
"Aguaclara, Colombia",Similar temperatures continuing with a chance of rain multiple days.,America/Bogota,3.50162,-76.23892,2023-07-06,15:00:00,29.0,16.0,27.0,82.3,15.3,0.0,0.0,6.1,11.2,66.2,1014.6,85.0,,246.0,21.2,18:19:15,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,11.2
"Arica, Arica y Parinacota, República de Chile",Similar temperatures continuing with no rain expected.,America/Santiago,-18.4785,-70.3218,2023-07-06,17:00:00,20.0,14.0,18.8,73.6,0.0,0.0,0.0,8.6,20.0,226.7,1015.2,77.8,,194.3,16.8,18:17:54,10.0,Partly cloudy throughout the day.,Partially cloudy,,,20.0
"Ascona, Ticino, Svizzera",Cooling down with a chance of rain multiple days.,Europe/Zurich,46.1543,8.77321,2023-07-06,22:20:00,24.7,17.0,19.0,74.0,2.2,0.0,0.0,20.5,15.3,241.8,1016.3,37.4,,191.7,16.5,21:18:32,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,15.3
"Avenida de la Estación, 03005 Alicante (Alicante), España",Similar temperatures continuing with no rain expected.,Europe/Madrid,38.34525,-0.49283,2023-07-06,23:00:00,29.0,25.0,26.0,74.0,0.1,0.0,0.0,33.1,22.2,77.6,1013.7,50.9,,271.5,23.4,21:28:46,15.0,Partly cloudy throughout the day with afternoon rain.,"Rain, Partially cloudy",,,22.2
"Araracuara, Colombia",Similar temperatures continuing with a chance of rain multiple days.,America/Bogota,4.17352,-72.97638,2023-07-06,15:00:00,28.5,21.8,28.0,89.1,3.8,0.0,0.0,29.2,11.2,39.2,1012.8,75.7,,157.8,13.7,18:07:20,60.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,11.2
"Ачинск, Сибирский федеральный округ, Россия","Warming up with a chance of rain tomorrow, Sunday & Monday.",Asia/Krasnoyarsk,56.2391,90.466,2023-07-07,04:00:00,29.7,15.3,15.5,58.1,0.0,0.0,0.0,16.2,9.0,83.4,1007.2,51.0,,311.8,26.7,21:45:14,60.0,Partly cloudy throughout the day.,Partially cloudy,,,9.0
"Arcata, CA, United States",Similar temperatures continuing with no rain expected.,America/Los_Angeles,40.8677,-124.085,2023-07-06,14:15:00,15.5,12.0,15.7,90.3,0.0,0.0,0.0,25.9,11.5,297.7,1014.6,96.3,,124.3,10.8,20:50:50,10.0,Cloudy skies throughout the day.,Overcast,,,11.5
"Xingyi, China, China",Similar temperatures continuing with a chance of rain multiple days.,Asia/Shanghai,25.0892,104.882,2023-07-07,05:00:00,30.9,20.0,20.3,81.6,1.5,0.0,0.0,23.4,15.5,177.3,1003.9,75.7,,271.0,23.5,19:54:22,60.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,15.5
"Atlantic City, NJ, United States",Similar temperatures continuing with a chance of rain Sunday & Monday.,America/New_York,39.3629,-74.4264,2023-07-06,17:05:00,30.9,20.7,26.7,83.0,0.0,0.0,0.0,29.5,16.0,140.9,1013.7,47.3,,286.4,24.8,20:27:31,30.0,Clearing in the afternoon.,Partially cloudy,,,16.0
"Zabol, Iran, Iran",Warming up with no rain expected.,Asia/Tehran,31.0397,61.5,2023-07-07,00:30:00,38.4,29.6,31.0,16.1,0.0,0.0,0.0,85.0,62.6,332.8,999.9,0.0,,349.1,30.3,18:31:13,10.0,Clear conditions throughout the day.,Clear,,,62.6
"Adana, Türkiye",Warming up with a chance of rain today & tomorrow.,Europe/Istanbul,36.9857,35.325,2023-07-07,23:50:00,33.2,25.1,26.0,72.4,0.0,0.0,0.0,38.2,20.2,202.0,1005.5,75.0,,300.3,26.1,20:01:20,10.0,Partly cloudy throughout the day with a chance of rain.,"Rain, Partially cloudy",,,20.2
"İzmir, Türkiye",Similar temperatures continuing with no rain expected.,Europe/Istanbul,38.4262,27.1419,2023-07-07,23:50:00,34.7,23.4,26.1,57.8,0.0,0.0,0.0,53.6,29.9,308.1,1009.3,2.1,,344.3,29.8,20:38:14,10.0,Clear conditions throughout the day.,Clear,,,29.9
"Addis Ababa, Ethiopia",Similar temperatures continuing with a chance of rain multiple days.,Africa/Addis_Ababa,9.01358,38.7629,2023-07-07,23:00:00,19.7,12.5,13.0,78.9,17.6,0.0,0.0,22.3,12.2,191.9,1016.0,60.8,,250.0,21.4,18:48:40,10.0,Partly cloudy throughout the day with a chance of rain throughout the day.,"Rain, Partially cloudy",,,12.2
"N Industrial Ln, Wayne City, IL 62895, United States",Similar temperatures continuing with a chance of rain Saturday & Sunday.,America/Chicago,38.34447,-88.60681,2023-07-06,16:10:00,29.5,20.0,28.8,79.6,0.0,0.0,0.0,25.9,14.8,324.9,1014.7,48.1,,261.1,22.6,20:21:09,30.0,Partly cloudy throughout the day.,Partially cloudy,,,14.8
"Adıyaman, Türkiye",Similar temperatures continuing with no rain expected.,Europe/Istanbul,37.7605,38.276,2023-07-07,23:50:00,39.3,25.2,38.4,36.8,0.0,0.0,0.0,31.3,14.8,219.2,1001.1,8.4,,337.5,29.3,19:51:45,10.0,Clear conditions throughout the day.,Clear,,,14.8
"Adrian, MI, United States",Similar temperatures continuing with no rain expected.,America/Detroit,41.89748,-84.03707,2023-07-06,17:06:00,28.9,20.6,28.0,80.0,6.988,0.0,0.0,31.7,18.4,302.3,1012.1,38.5,,238.3,20.5,21:14:04,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,18.4
"Aldan, PA, United States",Similar temperatures continuing with a chance of rain Sunday & Monday.,America/New_York,39.92225,-75.28715,2023-07-06,17:10:00,32.8,23.2,26.8,71.3,1.3,0.0,0.0,18.4,14.5,161.8,1013.2,42.3,,325.9,28.2,20:32:41,60.0,Becoming cloudy in the afternoon.,Partially cloudy,,,14.5
"Arandis, Erongo, Namibia",Similar temperatures continuing with no rain expected.,Africa/Windhoek,-22.4216,14.9747,2023-07-06,23:07:00,36.0,17.0,24.7,16.7,0.0,0.0,0.0,52.9,46.4,77.4,1016.7,12.8,,175.0,15.0,18:29:10,10.0,Clear conditions throughout the day.,Clear,,,46.4
"Adak Sokak, 45500, Hürriyet, Soma, Türkiye",Warming up with no rain expected.,Europe/Istanbul,39.1858,27.6208,2023-07-07,23:50:00,31.5,19.8,25.8,59.2,0.0,0.0,0.0,60.1,22.3,2.1,1011.3,9.0,,341.9,29.4,20:38:35,10.0,Clear conditions throughout the day.,Clear,,,22.3
"Adelaide, SA 5000, Australia",Similar temperatures continuing with a chance of rain tomorrow & Sunday.,Australia/Adelaide,-34.9258,138.6,2023-07-07,06:31:00,14.0,11.8,9.8,75.5,1.4,0.0,0.0,73.8,47.2,311.5,1012.8,36.9,,112.1,9.7,17:17:30,10.0,Partly cloudy throughout the day with early morning rain.,"Rain, Partially cloudy",,,47.2
"Ardmore, Excello, MO, United States",Similar temperatures continuing with a chance of rain tomorrow & Saturday.,America/Chicago,39.6451,-92.53777,2023-07-06,16:04:00,28.4,16.2,24.5,59.7,0.0,0.0,0.0,31.3,18.4,343.5,1017.6,13.0,,261.9,22.6,20:40:49,10.0,Clear conditions throughout the day.,Clear,,,18.4
"Andes, Colombia",Similar temperatures continuing with a chance of rain multiple days.,America/Bogota,5.6563,-75.8782,2023-07-06,16:07:00,24.2,14.0,19.5,89.0,18.7,0.0,0.0,10.4,25.9,205.0,1019.8,84.0,,233.7,20.1,18:21:26,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,25.9
"Andamooka, SA 5722, Australia",Similar temperatures continuing with no rain expected.,Australia/Adelaide,-30.45408,137.1618,2023-07-07,06:30:00,16.2,8.8,5.0,60.5,0.0,0.0,0.0,45.7,25.9,281.2,1020.1,0.4,,149.6,13.0,17:33:54,10.0,Clear conditions throughout the day.,Clear,,,25.9
